algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,execution_time
bsdrcnn,lucas,8,robust,dyn,0.05,0.8197457194328308,1.2486803531646729,2.3554162979125977,0.8039138317108154,0.8852917551994324,0.958113431930542,2.953943490982056,1.0037286281585691,29.031328678131104
bsdrcnn,lucas,8,robust,dyn,0.15,0.8335471749305725,1.1991249322891235,2.4511287212371826,0.8403317928314209,0.8573163747787476,1.1012780666351318,2.6477644443511963,0.8767243027687073,5.935405492782593
bsdrcnn,lucas,8,robust,dyn,0.25,0.8398868441581726,1.1781198978424072,2.4991931915283203,0.8683229684829712,0.8648934960365295,1.0693296194076538,2.720832109451294,0.8885862231254578,9.802015781402588
bsdrcnn,lucas,8,robust,dyn,0.35,0.8341367244720459,1.189395785331726,2.4555015563964844,0.85364830493927,0.8571082949638367,1.1202528476715088,2.6456053256988525,0.8687146306037903,13.16320276260376
bsdrcnn,lucas,8,robust,dyn,0.45,0.8399949073791504,1.1856755018234253,2.5000646114349365,0.8434010744094849,0.8473812937736511,1.1330392360687256,2.5598721504211426,0.8893449902534485,16.985971689224243
bsdrcnn,lucas,8,robust,dyn,0.55,0.8536574840545654,1.1177263259887695,2.614188432693481,0.8946734070777893,0.8449761867523193,1.160270094871521,2.5399131774902344,0.865170419216156,20.61423182487488
bsdrcnn,lucas,8,robust,dyn,0.65,0.8514523506164551,1.1510436534881592,2.59475040435791,0.8654481768608093,0.8439676761627197,1.1486284732818604,2.531675338745117,0.8739391565322876,24.48168992996216
bsdrcnn,lucas,8,robust,dyn,0.75,0.8397710919380188,1.1854721307754517,2.498443126678467,0.8338498473167419,0.8571336269378662,1.1063040494918823,2.64574670791626,0.9108371138572692,28.5066180229187
bsdrcnn,lucas,8,robust,dyn,0.85,0.8537911772727966,1.1576396226882937,2.615649938583374,0.9200912117958068,0.8447460532188416,1.1501625776290894,2.537992715835572,0.8594486713409424,32.47917675971985
bsdrcnn,lucas,8,robust,dyn,0.95,0.835354745388031,1.3905166387557983,2.465611696243286,0.7535995244979858,0.8453659415245056,1.143121600151062,2.5430679321289062,0.8714458346366882,35.14851260185242
bsdrcnn,lucas,16,robust,dyn,0.05,0.7731701135635376,1.401840090751648,2.099714994430542,0.7133481502532959,0.9588527083396912,0.5646116137504578,4.932066917419434,1.818630576133728,8.049209594726562
bsdrcnn,lucas,16,robust,dyn,0.15,0.8343374133110046,1.1877636909484863,2.456968069076538,0.8419182896614075,0.9155312180519104,0.8812035918235779,3.4412665367126465,1.1282895803451538,20.66193270683289
bsdrcnn,lucas,16,robust,dyn,0.25,0.8713884353637695,1.0655168294906616,2.788516998291016,0.9313200116157532,0.9055486917495728,0.8685979843139648,3.2541379928588867,1.1821578741073608,35.01815366744995
bsdrcnn,lucas,16,robust,dyn,0.35,0.8611618280410767,1.082622766494751,2.683866500854492,0.9307607412338256,0.9060474634170532,0.916695475578308,3.2626779079437256,1.0783360004425049,49.12849688529968
bsdrcnn,lucas,16,robust,dyn,0.45,0.8837406039237976,1.0256184339523315,2.93294620513916,0.9824928641319276,0.8987452983856201,0.9049984812736512,3.142784357070923,1.1007405519485474,63.24047088623047
bsdrcnn,lucas,16,robust,dyn,0.55,0.8774227499961853,1.0368783473968506,2.8563883304595947,0.9644333124160768,0.9065316319465636,0.8909269571304321,3.2710390090942383,1.1267268657684326,77.25318670272827
bsdrcnn,lucas,16,robust,dyn,0.65,0.8790269494056702,1.02256977558136,2.875306844711304,0.9517003893852234,0.9028856158256532,0.9140843152999878,3.209028482437134,1.1149486303329468,90.675137758255
bsdrcnn,lucas,16,robust,dyn,0.75,0.8864110708236694,0.991494357585907,2.967370986938477,1.0047143697738647,0.9002366065979004,0.926554262638092,3.1661221981048584,1.0834027528762815,105.07916378974916
