algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,execution_time
bsdrcnn,lucas,8,robust,dyn,0.05,0.7968156933784485,1.3240859508514404,2.214838535058299,0.7494507166342526,0.8792718052864075,1.0072742700576782,2.8793540000915527,0.8900770545005798,5.72934889793396
bsdrcnn,lucas,8,robust,dyn,0.15,0.8374742865562439,1.1851816177368164,2.446717792715566,0.8405197713728715,0.8657895922660828,1.0666218996047974,2.730067253112793,0.9249669909477234,5.952012538909912
bsdrcnn,lucas,8,robust,dyn,0.25,0.835100531578064,1.1893141269683838,2.474795414928436,0.8472638240812129,0.8638635277748108,1.090667724609375,2.710520029067993,0.909843683242798,9.667269229888916
bsdrcnn,lucas,8,robust,dyn,0.35,0.8402845859527588,1.1663542985916138,2.533365476404464,0.8606573652934267,0.8628454804420471,1.0988446474075315,2.700371026992798,0.8943562507629395,13.44884753227234
bsdrcnn,lucas,8,robust,dyn,0.45,0.8444032669067383,1.1545252799987793,2.5606459355917135,0.8727940848987797,0.8553695678710938,1.1204670667648315,2.629615545272827,0.8993238806724548,17.100131273269653
bsdrcnn,lucas,8,robust,dyn,0.55,0.8507166504859924,1.1644768714904783,2.467318929384751,0.8587547116500859,0.8437922596931458,1.1342438459396362,2.530269861221313,0.8782666325569153,21.021317720413208
bsdrcnn,lucas,8,robust,dyn,0.65,0.8503485321998596,1.1756173372268677,2.584494716793872,0.867727031769587,0.8511908054351807,1.110156536102295,2.592391014099121,0.8792036175727844,24.6279456615448
bsdrcnn,lucas,8,robust,dyn,0.75,0.8428566455841064,1.1754323625564576,2.502213688662186,0.8442316175408983,0.8459793329238892,1.1612776517868042,2.548142910003662,0.8644198179244995,29.05294275283813
bsdrcnn,lucas,8,robust,dyn,0.85,0.8417093901634216,1.1800523281097413,2.691953132351248,0.854725392789,0.8515986204147339,1.1221157312393188,2.595928907394409,0.8945881128311157,32.83693099021912
bsdrcnn,lucas,8,robust,dyn,0.95,0.8403903021812439,1.189884443283081,2.6207426465700343,0.8162678092808898,0.8519901633262634,1.1273455619812012,2.599352598190308,0.8904380798339844,35.71684718132019
