algorithm,dataset,target_size,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,fold,selected_bands
bsdrcnn,lucas,200,0.76,1.049999952,2.029999971,0.829999983,0.91,0.949999988,3.309999943,1.100000024,0,28|49|65|101|111|133|143|174|186|204|239|264|303|325|333|359|380|409|428|430|445|494|507|512|537|551|579|602|620|627|672|694|703|704|745|786|790|796|824|836|862|881|906|920|945|950|977|1027|1054|1070|1076|1096|1146|1188|1190|1215|1243|1245|1256|1277|1289|1343|1345|1377|1381|1419|1439|1451|1478|1493|1515|1524|1527|1537|1560|1571|1668|1685|1687|1708|1725|1763|1764|1774|1795|1823|1874|1882|1910|1959|1979|1987|2004|2012|2013|2077|2088|2132|2145|2150|2166|2170|2174|2203|2214|2241|2271|2285|2302|2323|2346|2372|2384|2391|2397|2437|2445|2459|2496|2535|2543|2607|2621|2652|2659|2669|2699|2706|2712|2714|2743|2747|2779|2842|2854|2901|2916|2927|2966|2978|2984|2992|3044|3053|3073|3085|3091|3113|3152|3165|3198|3207|3220|3230|3245|3261|3332|3365|3380|3417|3428|3453|3463|3480|3494|3502|3508|3578|3582|3594|3596|3630|3641|3671|3708|3730|3760|3772|3803|3817|3833|3853|3886|3906|3916|3929|3947|3957|3969|3996|4007|4025|4045|4078|4099|4121
bsdrcnn,lucas_asa,200,0.75,1.120000005,2.019999981,0.689999998,0.89,0.879999995,3.069999933,1.200000048,0,36|45|57|93|95|134|152|165|186|201|217|230|272|304|305|313|325|363|366|376|421|434|464|467|471|486|528|543|588|605|644|646|649|704|708|723|729|743|746|789|815|822|864|890|896|906|921|926|958|979|1009|1022|1063|1074|1095|1099|1142|1146|1147|1175|1218|1221|1232|1260|1263|1294|1335|1346|1349|1396|1417|1437|1445|1466|1488|1491|1527|1532|1558|1565|1575|1577|1664|1665|1685|1711|1719|1726|1735|1787|1796|1806|1829|1854|1867|1898|1953|1962|1982|1988|2036|2042|2058|2074|2081|2117|2119|2174|2192|2225|2270|2271|2284|2287|2304|2306|2319|2354|2393|2411|2422|2425|2487|2494|2500|2528|2539|2543|2598|2607|2618|2638|2661|2678|2703|2731|2747|2756|2789|2811|2822|2834|2859|2880|2894|2931|2942|2948|2977|3026|3031|3050|3065|3081|3085|3124|3131|3139|3144|3188|3205|3241|3253|3272|3292|3311|3336|3362|3369|3385|3394|3423|3449|3459|3505|3508|3519|3556|3564|3588|3607|3634|3657|3661|3680|3701|3736|3746|3761|3787|3795|3825|3845|3847|3878|3885|3913|3930
