algorithm,dataset,target_size,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq
bsdrcnn,lucas,200,0.76,1.049999952,2.029999971,0.829999983,0.91,0.949999988,3.309999943,1.100000024
bsdrcnn,lucas_asa,200,0.75,1.120000005,2.019999981,0.689999998,0.89,0.879999995,3.069999933,1.200000048
