algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,r2_o,rmse_o,rpd_o,rpiq_o,train_r2,train_rmse,train_rpd,train_rpiq,train_r2_o,train_rmse_o,train_rpd_o,train_rpiq_o,execution_time,params,fold,selected_bands
bsdrfc,lucas,8,robust,dyn,0.05,0.7545708417892456,1.4583348035812378,2.0185868740081787,0.6857135891914368,0.7545708417892456,38.06254196166992,2.0185866355895996,0.6857135891914368,0.7470926642417908,1.3966068029403687,1.9893847703933716,0.7324813604354858,0.7470926642417908,36.451438903808594,1.9893845319747925,0.7324813604354858,5.966760635375977,409,0,410|457|1132|1874|2479|2989|3443|3815
bsdrfc,lucas,8,robust,dyn,0.15,0.6927273273468018,1.6341092586517334,1.8040549755096436,0.6189880967140198,0.6927273273468018,42.65025329589844,1.804054856300354,0.6189881563186646,0.6827707290649414,1.6134518384933472,1.7757419347763062,0.5889185070991516,0.6827707886695862,42.11109161376953,1.7757421731948853,0.5889185070991516,6.696878671646118,409,0,577|581|1049|1076|2475|2988|3440|3815
bsdrfc,lucas,8,robust,dyn,0.25,0.7622813582420349,1.4221546649932861,2.0510754585266113,0.7112405896186829,0.7622812986373901,37.11823654174805,2.0510756969451904,0.7112407088279724,0.7619051337242126,1.4595085382461548,2.0495800971984863,0.6746615767478943,0.7619051337242126,38.09317398071289,2.049579620361328,0.6746615767478943,5.61532998085022,409,0,400|515|1130|1228|2473|2987|3446|3814
bsdrfc,lucas,8,robust,dyn,0.35,0.698111891746521,1.6004356145858765,1.8200879096984863,0.6200419068336487,0.698111891746521,41.77136993408203,1.8200879096984863,0.6200419664382935,0.6941087245941162,1.646744966506958,1.8081938028335571,0.6165652275085449,0.6941087245941162,42.980045318603516,1.8081936836242676,0.6165651679039001,11.836280107498169,409,0,543|565|1096|1105|2473|2986|3439|3814
bsdrfc,lucas,8,robust,dyn,0.45,0.7390984296798706,1.4923406839370728,1.957851767539978,0.6700882911682129,0.7390984296798706,38.95008850097656,1.957851767539978,0.6700882911682129,0.7370250225067139,1.5141148567199707,1.9501360654830933,0.6655128002166748,0.7370250225067139,39.51839828491211,1.9501360654830933,0.6655128002166748,15.975342035293579,409,0,410|548|1125|1127|2475|2985|3438|3815
bsdrfc,lucas,8,robust,dyn,0.55,0.7251261472702026,1.5624362230300903,1.90746009349823,0.6418652534484863,0.7251261472702026,40.77958297729492,1.9074602127075195,0.6418653726577759,0.7154515981674194,1.5462325811386108,1.874735713005066,0.6467332243919373,0.7154515981674194,40.35667037963867,1.8747355937957764,0.646733283996582,15.539834976196289,409,0,524|554|1114|1126|2475|2986|3442|3814
bsdrfc,lucas,8,robust,dyn,0.65,0.7098785638809204,1.5696985721588135,1.8566865921020508,0.6303526163101196,0.7098785638809204,40.96913528442383,1.8566864728927612,0.6303526163101196,0.7263005971908569,1.541785478591919,1.9115182161331177,0.6535687446594238,0.7263005971908569,40.2406005859375,1.9115182161331177,0.6535687446594238,18.671400785446167,409,0,537|546|1113|1122|2476|2987|3444|3814
bsdrfc,lucas,8,robust,dyn,0.75,0.7055985927581787,1.6012028455734253,1.8431892395019531,0.6460660099983215,0.7055985331535339,41.79139709472656,1.8431891202926636,0.6460660099983215,0.7158079147338867,1.5621914863586426,1.8758896589279175,0.6327685713768005,0.7158079147338867,40.773197174072266,1.875889778137207,0.6327686309814453,21.851638555526733,409,0,531|547|1097|1120|2477|2986|3440|3814
bsdrfc,lucas,8,robust,dyn,0.85,0.7029679417610168,1.6105599403381348,1.8351213932037354,0.6161441802978516,0.7029680013656616,42.03561019897461,1.8351216316223145,0.6161441802978516,0.7143225073814392,1.5671969652175903,1.870999813079834,0.6405266523361206,0.7143225073814392,40.90384292602539,1.8709995746612549,0.6405266523361206,18.668477773666382,409,0,534|545|1100|1115|2477|2986|3440|3814
bsdrfc,lucas,8,robust,dyn,0.95,0.7369414567947388,1.6448931694030762,1.9506220817565918,0.6120184063911438,0.7369414567947388,42.93171310424805,1.9506220817565918,0.6120184063911438,0.7130445241928101,1.5644646883010864,1.8668233156204224,0.6391962766647339,0.7130445241928101,40.83252716064453,1.866823434829712,0.6391963362693787,26.82388210296631,409,0,525|547|1105|1117|2475|2986|3441|3815
