algorithm,dataset,target_size,scaler_y,mode,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq
bsdrcnn,lucas,8,robust,static,0.75,1.409999966621399,2.0,0.6800000071525574,0.75,1.4900000095367432,2.0,0.6899999976158142
bsdrcnn,lucas,8,robust,dyn,0.85,1.1100000143051147,2.539999961853028,0.8700000047683716,0.85,1.1699999570846558,2.549999952316284,0.8799999952316284
bsdrcnn,lucas,8,robust,semi,0.77,1.3600000143051147,2.069999933242798,0.7099999785423279,0.76,1.440000057220459,2.059999942779541,0.7099999785423279
bsdrcnn,lucas,16,robust,static,0.87,1.0399999618530271,2.7799999713897705,0.9399999976158142,0.88,1.0199999809265137,2.900000095367432,0.9900000095367432
bsdrcnn,lucas,16,robust,dyn,0.89,0.9700000286102296,2.970000028610229,1.0,0.9,0.9300000071525574,3.1600000858306885,1.0800000429153442
bsdrcnn,lucas,16,robust,semi,0.88,1.0099999904632568,2.859999895095825,0.9700000286102296,0.89,0.9700000286102296,3.039999961853028,1.0399999618530271
bsdrcnn,lucas,32,robust,static,0.89,0.959999978542328,3.059999942779541,1.0499999523162842,0.91,0.8600000143051147,3.4100000858306885,1.159999966621399
bsdrcnn,lucas,32,robust,dyn,0.9,0.9200000166893004,3.190000057220459,1.100000023841858,0.92,0.8299999833106995,3.539999961853028,1.2000000476837158
bsdrcnn,lucas,32,robust,semi,0.9,0.949999988079071,3.0899999141693115,1.059999942779541,0.92,0.8500000238418579,3.450000047683716,1.1699999570846558
bsdrcnn,lucas,64,robust,static,0.88,0.9800000190734864,2.900000095367432,1.0299999713897705,0.9,0.9200000166893004,3.2300000190734863,1.090000033378601
bsdrcnn,lucas,64,robust,dyn,0.9,0.8999999761581421,3.130000114440918,1.1100000143051147,0.92,0.8600000143051147,3.450000047683716,1.159999966621399
bsdrcnn,lucas,64,robust,semi,0.89,0.949999988079071,3.0,1.059999942779541,0.91,0.8999999761581421,3.289999961853028,1.1100000143051147
bsdrcnn,lucas,128,robust,static,0.91,0.9399999976158142,3.289999961853028,1.100000023841858,0.91,0.8500000238418579,3.390000104904175,1.159999966621399
bsdrcnn,lucas,128,robust,dyn,0.92,0.8799999952316284,3.5199999809265137,1.1799999475479126,0.93,0.7699999809265137,3.7200000286102295,1.2799999713897705
bsdrcnn,lucas,128,robust,semi,0.91,0.9300000071525574,3.3299999237060547,1.1100000143051147,0.92,0.8299999833106995,3.4800000190734863,1.2000000476837158
bsdrcnn,lucas,256,robust,static,0.9,0.9200000166893004,3.2300000190734863,1.1100000143051147,0.91,0.8700000047683716,3.380000114440918,1.149999976158142
bsdrcnn,lucas,256,robust,dyn,0.91,0.8700000047683716,3.390000104904175,1.1699999570846558,0.92,0.8399999737739563,3.509999990463257,1.190000057220459
bsdrcnn,lucas,256,robust,semi,0.91,0.8999999761581421,3.299999952316284,1.1299999952316284,0.92,0.8299999833106995,3.509999990463257,1.190000057220459
bsdrcnn,lucas,512,robust,static,0.9,0.8999999761581421,3.1700000762939453,1.1200000047683716,0.93,0.7699999809265137,3.839999914169312,1.2899999618530271
bsdrcnn,lucas,512,robust,dyn,0.9,0.9100000262260436,3.1600000858306885,1.1200000047683716,0.92,0.8199999928474426,3.609999895095825,1.2100000381469729
