algorithm,dataset,target_size,scaler_y,mode,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq
bsdrfc,lucas,8,robust,static,0.84,1.2000000476837158,2.5199999809265137,0.8500000238418579,0.84,1.159999966621399,2.5,0.8600000143051147
bsdrfc,lucas,8,robust,dyn,0.88,1.0299999713897705,2.940000057220459,0.9900000095367432,0.88,1.0099999904632568,2.869999885559082,0.9900000095367432
bsdrfc,lucas,8,robust,semi,0.87,1.090000033378601,2.7699999809265137,0.9300000071525574,0.86,1.0700000524520874,2.7100000381469727,0.9300000071525574
bsdrfc,lucas,16,robust,static,0.88,1.0299999713897705,2.859999895095825,0.9800000190734864,0.88,1.0099999904632568,2.9100000858306885,0.9900000095367432
bsdrfc,lucas,16,robust,dyn,0.88,1.0,2.930000066757202,1.0099999904632568,0.89,0.9700000286102296,3.0299999713897705,1.0299999713897705
bsdrfc,lucas,16,robust,semi,0.89,0.9900000095367432,2.9600000381469727,1.0199999809265137,0.89,0.9700000286102296,3.039999961853028,1.0299999713897705
bsdrfc,lucas,32,robust,static,0.9,0.949999988079071,3.109999895095825,1.0199999809265137,0.89,0.9900000095367432,2.9800000190734863,1.0299999713897705
bsdrfc,lucas,32,robust,dyn,0.9,0.9399999976158142,3.130000114440918,1.0299999713897705,0.89,0.9800000190734864,2.9800000190734863,1.0299999713897705
bsdrfc,lucas,32,robust,semi,0.9,0.9300000071525574,3.1700000762939453,1.0499999523162842,0.89,0.959999978542328,3.049999952316284,1.0499999523162842
bsdrfc,lucas,64,robust,static,0.9,0.949999988079071,3.1600000858306885,1.0800000429153442,0.89,0.949999988079071,3.0799999237060547,1.0499999523162842
bsdrfc,lucas,64,robust,dyn,0.91,0.9200000166893004,3.259999990463257,1.1200000047683716,0.9,0.9300000071525574,3.119999885559082,1.059999942779541
bsdrfc,lucas,64,robust,semi,0.91,0.9200000166893004,3.259999990463257,1.1200000047683716,0.9,0.9300000071525574,3.140000104904175,1.0700000524520874
bsdrfc,lucas,128,robust,static,0.88,1.0,2.900000095367432,0.9900000095367432,0.89,0.9900000095367432,2.990000009536743,1.0199999809265137
bsdrfc,lucas,128,robust,dyn,0.89,0.949999988079071,3.049999952316284,1.0399999618530271,0.9,0.9300000071525574,3.180000066757202,1.0800000429153442
bsdrfc,lucas,128,robust,semi,0.89,0.9399999976158142,3.069999933242798,1.0499999523162842,0.9,0.9200000166893004,3.2100000381469727,1.090000033378601
bsdrfc,lucas,256,robust,static,0.87,1.0399999618530271,2.7799999713897705,0.9900000095367432,0.87,1.059999942779541,2.789999961853028,0.9399999976158142
bsdrfc,lucas,256,robust,dyn,0.88,0.9900000095367432,2.9100000858306885,1.0299999713897705,0.88,1.0099999904632568,2.9200000762939453,0.9900000095367432
bsdrfc,lucas,256,robust,semi,0.89,0.949999988079071,3.049999952316284,1.0800000429153442,0.89,0.9700000286102296,3.039999961853028,1.0299999713897705
