algorithm,dataset,target_size,scaler_y,mode,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,fold,selected_bands
bsdrcnn,lucas,64,robust,dyn,0.9,0.8999999761581421,3.130000114440918,1.1100000143051147,0.92,0.8600000143051147,3.450000047683716,1.159999966621399,0,59|188|218|260|339|379|420|514|614|683|740|811|854|861|938|979|1057|1104|1196|1257|1339|1362|1445|1591|1594|1596|1806|1838|1869|1936|2009|2027|2152|2179|2214|2217|2329|2393|2519|2578|2638|2639|2713|2828|2833|2969|2982|3058|3107|3122|3229|3325|3479|3500|3515|3537|3663|3664|3752|3902|3908|3941|4021|4082
bsdrcnn,lucas,64,robust,semi,0.89,0.949999988079071,3.0,1.059999942779541,0.91,0.8999999761581421,3.2899999618530273,1.1100000143051147,0,70|127|187|257|325|381|445|516|582|641|703|772|823|893|953|1026|1090|1154|1221|1295|1354|1410|1475|1548|1598|1673|1739|1821|1868|1920|1994|2044|2138|2192|2244|2274|2377|2440|2470|2547|2615|2690|2741|2820|2910|2952|3009|3057|3122|3181|3352|3365|3375|3459|3513|3574|3640|3700|3760|3828|3904|3969|4026|4093
bsdrcnn,lucas,128,robust,static,0.91,0.9399999976158142,3.2899999618530273,1.100000023841858,0.91,0.8500000238418579,3.390000104904175,1.159999966621399,0,36|69|101|133|165|197|230|262|294|326|358|391|423|455|487|519|552|584|616|648|680|713|745|777|809|841|874|906|938|970|1002|1035|1067|1099|1131|1163|1196|1228|1260|1292|1324|1357|1389|1421|1453|1485|1518|1550|1582|1614|1646|1679|1711|1743|1775|1807|1840|1872|1904|1936|1968|2001|2033|2065|2097|2129|2162|2194|2226|2258|2290|2323|2355|2387|2419|2451|2484|2516|2548|2580|2612|2645|2677|2709|2741|2773|2806|2838|2870|2902|2934|2967|2999|3031|3063|3095|3128|3160|3192|3224|3256|3289|3321|3353|3385|3417|3450|3482|3514|3546|3578|3611|3643|3675|3707|3739|3772|3804|3836|3868|3900|3933|3965|3997|4029|4061|4094|4126
bsdrcnn,lucas,128,robust,dyn,0.92,0.8799999952316284,3.5199999809265137,1.1799999475479126,0.93,0.7699999809265137,3.7200000286102295,1.2799999713897705,0,37|73|127|151|181|222|260|289|306|360|381|424|447|497|503|540|565|614|618|705|715|733|759|777|843|845|872|898|952|1009|1031|1053|1101|1128|1156|1167|1255|1309|1310|1359|1372|1417|1436|1438|1544|1556|1589|1591|1614|1727|1734|1766|1771|1828|1845|1917|1936|1999|2011|2025|2031|2103|2118|2145|2148|2180|2222|2257|2282|2283|2330|2380|2400|2439|2448|2469|2530|2618|2620|2651|2657|2671|2675|2715|2773|2822|2855|2928|2964|2983|2987|3043|3049|3053|3133|3141|3175|3193|3398|3401|3405|3417|3426|3470|3487|3491|3503|3507|3573|3657|3668|3698|3725|3731|3732|3758|3764|3870|3919|3928|3952|3984|4006|4040|4063|4111
bsdrcnn,lucas,128,robust,semi,0.91,0.9300000071525574,3.3299999237060547,1.1100000143051147,0.92,0.8299999833106995,3.4800000190734863,1.2000000476837158,0,36|65|102|148|172|219|234|257|289|319|359|387|412|445|480|515|547|581|609|646|690|723|739|786|819|844|888|914|938|976|996|1031|1069|1102|1134|1159|1189|1219|1273|1297|1325|1353|1388|1421|1442|1482|1516|1546|1587|1622|1630|1698|1711|1742|1786|1817|1847|1877|1906|1935|1967|2016|2025|2084|2127|2152|2159|2190|2223|2276|2296|2305|2351|2354|2413|2414|2470|2473|2531|2567|2634|2657|2659|2702|2734|2798|2812|2849|2905|2922|2934|2967|2996|3035|3060|3108|3120|3163|3201|3246|3247|3293|3324|3370|3414|3447|3478|3492|3508|3541|3559|3592|3656|3675|3703|3739|3765|3797|3836|3871|3901|3932|3964|3992|4019|4058|4086|4121
bsdrcnn,lucas,256,robust,static,0.9,0.9200000166893005,3.2300000190734863,1.1100000143051147,0.91,0.8700000047683716,3.380000114440918,1.149999976158142,0,20|37|53|69|85|101|117|134|150|166|182|198|214|230|247|263|279|295|311|327|344|360|376|392|408|424|441|457|473|489|505|521|538|554|570|586|602|618|635|651|667|683|699|715|732|748|764|780|796|812|828|845|861|877|893|909|925|942|958|974|990|1006|1022|1039|1055|1071|1087|1103|1119|1136|1152|1168|1184|1200|1216|1233|1249|1265|1281|1297|1313|1330|1346|1362|1378|1394|1410|1427|1443|1459|1475|1491|1507|1523|1540|1556|1572|1588|1604|1620|1637|1653|1669|1685|1701|1717|1734|1750|1766|1782|1798|1814|1831|1847|1863|1879|1895|1911|1928|1944|1960|1976|1992|2008|2025|2041|2057|2073|2089|2105|2122|2138|2154|2170|2186|2202|2218|2235|2251|2267|2283|2299|2315|2332|2348|2364|2380|2396|2412|2429|2445|2461|2477|2493|2509|2526|2542|2558|2574|2590|2606|2623|2639|2655|2671|2687|2703|2720|2736|2752|2768|2784|2800|2817|2833|2849|2865|2881|2897|2913|2930|2946|2962|2978|2994|3010|3027|3043|3059|3075|3091|3107|3124|3140|3156|3172|3188|3204|3221|3237|3253|3269|3285|3301|3318|3334|3350|3366|3382|3398|3415|3431|3447|3463|3479|3495|3511|3528|3544|3560|3576|3592|3608|3625|3641|3657|3673|3689|3705|3722|3738|3754|3770|3786|3802|3819|3835|3851|3867|3883|3899|3916|3932|3948|3964|3980|3996|4013|4029|4045|4061|4077|4093|4110|4126|4142
bsdrcnn,lucas,256,robust,dyn,0.91,0.8700000047683716,3.390000104904175,1.1699999570846558,0.92,0.8399999737739563,3.509999990463257,1.190000057220459,0,22|66|71|74|108|126|157|175|200|201|207|231|250|264|283|285|298|325|327|342|357|370|401|405|406|407|453|481|492|500|514|541|560|566|584|616|617|629|635|652|672|679|703|746|760|766|767|809|816|820|827|836|859|897|913|920|947|972|978|1009|1025|1028|1061|1081|1096|1099|1110|1122|1157|1172|1192|1221|1225|1227|1274|1285|1329|1351|1353|1359|1374|1399|1406|1419|1420|1440|1442|1468|1470|1471|1527|1566|1570|1589|1596|1600|1613|1640|1663|1679|1699|1701|1737|1742|1752|1762|1771|1779|1792|1812|1817|1820|1843|1908|1944|1970|1975|2004|2010|2014|2020|2026|2046|2086|2089|2096|2131|2143|2147|2152|2164|2175|2186|2196|2208|2235|2283|2296|2325|2349|2363|2379|2383|2384|2385|2386|2396|2432|2450|2463|2474|2540|2562|2588|2590|2634|2640|2647|2655|2656|2660|2661|2665|2670|2678|2688|2713|2754|2768|2770|2776|2792|2831|2898|2920|2922|2923|2929|2957|2966|2986|2994|3042|3050|3055|3058|3060|3088|3122|3146|3166|3173|3176|3185|3202|3212|3214|3215|3229|3230|3271|3288|3310|3333|3365|3411|3422|3423|3445|3483|3486|3488|3516|3517|3525|3528|3529|3533|3547|3655|3678|3679|3716|3721|3727|3732|3737|3752|3764|3767|3769|3777|3881|3900|3901|3907|3920|3926|3927|3933|3941|3991|3999|4000|4040|4050|4079|4099|4107|4108
bsdrcnn,lucas,256,robust,semi,0.91,0.8999999761581421,3.299999952316284,1.1299999952316284,0.92,0.8299999833106995,3.509999990463257,1.190000057220459,0,24|38|56|67|86|114|116|118|166|189|202|217|238|255|265|284|291|313|329|345|359|380|394|406|420|440|452|473|492|506|522|538|552|566|589|598|620|632|651|666|678|701|711|726|747|755|779|794|813|824|842|868|886|902|917|925|945|960|974|991|1008|1021|1038|1050|1072|1086|1104|1130|1133|1142|1172|1189|1197|1219|1248|1265|1275|1298|1320|1335|1362|1382|1383|1385|1420|1447|1460|1472|1491|1509|1518|1541|1564|1568|1590|1610|1627|1648|1661|1682|1685|1708|1711|1739|1749|1773|1778|1800|1806|1833|1850|1867|1883|1898|1916|1932|1945|1956|1975|1998|2016|2021|2047|2075|2089|2102|2103|2122|2155|2162|2186|2198|2208|2216|2233|2243|2261|2280|2311|2317|2323|2359|2360|2367|2406|2417|2430|2439|2461|2479|2486|2540|2545|2547|2563|2584|2594|2616|2652|2656|2657|2689|2707|2743|2751|2754|2779|2809|2824|2829|2833|2840|2863|2899|2918|2922|2930|2949|2964|2979|2993|3012|3032|3045|3057|3073|3085|3105|3112|3132|3135|3166|3180|3185|3209|3231|3256|3268|3306|3307|3322|3331|3332|3373|3379|3397|3412|3422|3440|3472|3485|3486|3515|3529|3542|3554|3569|3571|3575|3637|3646|3656|3674|3690|3712|3725|3740|3759|3768|3776|3795|3817|3820|3844|3868|3888|3904|3917|3930|3944|3950|3967|3995|4010|4021|4044|4060|4076|4090|4107|4111|4124
bsdrcnn,lucas,512,robust,static,0.9,0.8999999761581421,3.1700000762939453,1.1200000047683716,0.93,0.7699999809265137,3.8399999141693115,1.2899999618530273,0,12|20|28|37|45|53|61|69|77|85|93|101|109|118|126|134|142|150|158|166|174|182|190|199|207|215|223|231|239|247|255|263|271|280|288|296|304|312|320|328|336|344|352|360|369|377|385|393|401|409|417|425|433|441|450|458|466|474|482|490|498|506|514|522|531|539|547|555|563|571|579|587|595|603|611|620|628|636|644|652|660|668|676|684|692|701|709|717|725|733|741|749|757|765|773|782|790|798|806|814|822|830|838|846|854|862|871|879|887|895|903|911|919|927|935|943|952|960|968|976|984|992|1000|1008|1016|1024|1033|1041|1049|1057|1065|1073|1081|1089|1097|1105|1113|1122|1130|1138|1146|1154|1162|1170|1178|1186|1194|1203|1211|1219|1227|1235|1243|1251|1259|1267|1275|1284|1292|1300|1308|1316|1324|1332|1340|1348|1356|1365|1373|1381|1389|1397|1405|1413|1421|1429|1437|1445|1454|1462|1470|1478|1486|1494|1502|1510|1518|1526|1535|1543|1551|1559|1567|1575|1583|1591|1599|1607|1616|1624|1632|1640|1648|1656|1664|1672|1680|1688|1696|1705|1713|1721|1729|1737|1745|1753|1761|1769|1777|1786|1794|1802|1810|1818|1826|1834|1842|1850|1858|1867|1875|1883|1891|1899|1907|1915|1923|1931|1939|1947|1956|1964|1972|1980|1988|1996|2004|2012|2020|2028|2037|2045|2053|2061|2069|2077|2085|2093|2101|2109|2118|2126|2134|2142|2150|2158|2166|2174|2182|2190|2199|2207|2215|2223|2231|2239|2247|2255|2263|2271|2279|2288|2296|2304|2312|2320|2328|2336|2344|2352|2360|2369|2377|2385|2393|2401|2409|2417|2425|2433|2441|2450|2458|2466|2474|2482|2490|2498|2506|2514|2522|2530|2539|2547|2555|2563|2571|2579|2587|2595|2603|2611|2620|2628|2636|2644|2652|2660|2668|2676|2684|2692|2701|2709|2717|2725|2733|2741|2749|2757|2765|2773|2781|2790|2798|2806|2814|2822|2830|2838|2846|2854|2862|2871|2879|2887|2895|2903|2911|2919|2927|2935|2943|2952|2960|2968|2976|2984|2992|3000|3008|3016|3024|3033|3041|3049|3057|3065|3073|3081|3089|3097|3105|3113|3122|3130|3138|3146|3154|3162|3170|3178|3186|3194|3203|3211|3219|3227|3235|3243|3251|3259|3267|3275|3284|3292|3300|3308|3316|3324|3332|3340|3348|3356|3364|3373|3381|3389|3397|3405|3413|3421|3429|3437|3445|3454|3462|3470|3478|3486|3494|3502|3510|3518|3526|3535|3543|3551|3559|3567|3575|3583|3591|3599|3607|3615|3624|3632|3640|3648|3656|3664|3672|3680|3688|3696|3705|3713|3721|3729|3737|3745|3753|3761|3769|3777|3786|3794|3802|3810|3818|3826|3834|3842|3850|3858|3867|3875|3883|3891|3899|3907|3915|3923|3931|3939|3947|3956|3964|3972|3980|3988|3996|4004|4012|4020|4028|4037|4045|4053|4061|4069|4077|4085|4093|4101|4109|4118|4126|4134|4142|4150
bsdrcnn,lucas,512,robust,dyn,0.9,0.9100000262260437,3.1600000858306885,1.1200000047683716,0.92,0.8199999928474426,3.609999895095825,1.2100000381469727,0,16|21|35|38|56|61|65|77|83|95|99|114|122|127|147|158|171|172|173|176|187|188|209|210|223|224|229|231|247|255|266|291|292|303|310|318|330|332|339|348|355|368|376|383|390|393|403|409|411|430|435|459|460|471|474|494|500|504|506|520|524|531|544|559|567|569|586|587|592|598|607|609|627|631|637|650|658|664|665|673|692|714|719|721|729|736|745|749|758|763|764|793|797|798|800|828|834|843|845|859|862|867|873|885|887|891|892|910|923|927|949|956|960|962|975|977|981|988|992|994|1003|1012|1016|1034|1046|1061|1066|1077|1084|1107|1111|1113|1116|1124|1134|1136|1140|1159|1174|1184|1195|1197|1230|1237|1239|1247|1252|1260|1266|1271|1279|1282|1284|1303|1305|1316|1323|1362|1366|1369|1373|1381|1402|1404|1406|1422|1433|1446|1449|1472|1473|1475|1482|1485|1486|1498|1505|1510|1514|1537|1550|1558|1560|1564|1577|1578|1579|1595|1608|1609|1620|1623|1628|1671|1674|1678|1682|1691|1699|1719|1721|1722|1726|1733|1736|1758|1759|1766|1775|1785|1790|1803|1811|1814|1828|1835|1836|1859|1860|1883|1885|1900|1901|1909|1910|1925|1942|1952|1998|2000|2012|2016|2018|2023|2025|2039|2045|2047|2051|2052|2062|2071|2076|2082|2084|2088|2109|2114|2117|2124|2128|2137|2149|2151|2157|2180|2195|2199|2206|2213|2219|2231|2233|2245|2249|2253|2255|2257|2262|2266|2271|2280|2336|2340|2344|2349|2359|2371|2389|2395|2405|2412|2418|2419|2425|2452|2459|2462|2464|2472|2478|2480|2484|2490|2491|2514|2529|2532|2537|2543|2544|2557|2579|2581|2604|2607|2649|2654|2655|2659|2662|2665|2676|2682|2686|2690|2695|2696|2702|2734|2735|2738|2742|2757|2772|2793|2800|2819|2824|2831|2832|2838|2842|2860|2879|2880|2896|2898|2917|2923|2924|2926|2940|2967|2977|2984|2986|2990|2997|2998|3003|3037|3045|3049|3054|3060|3075|3091|3103|3104|3106|3114|3134|3146|3162|3166|3171|3176|3182|3199|3214|3217|3224|3228|3229|3240|3241|3242|3243|3245|3259|3267|3279|3280|3287|3307|3311|3321|3332|3335|3354|3369|3373|3376|3382|3394|3402|3411|3419|3429|3431|3447|3452|3465|3468|3476|3491|3493|3516|3528|3529|3536|3537|3540|3546|3549|3560|3562|3563|3575|3577|3631|3640|3646|3649|3650|3656|3667|3674|3690|3693|3698|3708|3720|3727|3730|3739|3742|3747|3752|3759|3762|3766|3769|3772|3777|3783|3880|3881|3884|3885|3895|3897|3903|3904|3905|3921|3923|3924|3928|3933|3935|3936|3937|3938|3939|3945|3953|3956|3959|3968|3976|4005|4009|4015|4042|4044|4068|4078|4084|4100|4102|4109
