algorithm,dataset,target_size,scaler_y,mode,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,fold,selected_bands
bsdrcnn,lucas,8,robust,static,0.75,1.440000057220459,2.009999990463257,0.6899999976158142,0.75,1.4700000286102295,2.0,0.6800000071525574,0,466|927|1389|1850|2312|2773|3235|3696
bsdrcnn,lucas,8,robust,static,0.75,1.4700000286102295,1.9800000190734863,0.6800000071525574,0.75,1.4700000286102295,2.0,0.6800000071525574,1,466|927|1389|1850|2312|2773|3235|3696
bsdrcnn,lucas,8,robust,static,0.73,1.5,1.9199999570846558,0.6499999761581421,0.76,1.4600000381469727,2.0299999713897705,0.6899999976158142,2,466|927|1389|1850|2312|2773|3235|3696
bsdrcnn,lucas,8,robust,static,0.77,1.4600000381469727,2.069999933242798,0.6800000071525574,0.74,1.4700000286102295,1.9800000190734863,0.6800000071525574,3,466|927|1389|1850|2312|2773|3235|3696
bsdrcnn,lucas,8,robust,static,0.77,1.4500000476837158,2.0899999141693115,0.699999988079071,0.75,1.4600000381469727,1.9800000190734863,0.6800000071525574,4,466|927|1389|1850|2312|2773|3235|3696
bsdrcnn,lucas,8,robust,static,0.73,1.559999942779541,1.909999966621399,0.6399999856948853,0.76,1.4299999475479126,2.049999952316284,0.699999988079071,5,466|927|1389|1850|2312|2773|3235|3696
bsdrcnn,lucas,8,robust,static,0.75,1.5499999523162842,1.9900000095367432,0.6499999761581421,0.75,1.440000057220459,2.009999990463257,0.6899999976158142,6,466|927|1389|1850|2312|2773|3235|3696
bsdrcnn,lucas,8,robust,static,0.75,1.5700000524520874,2.009999990463257,0.6700000166893005,0.75,1.440000057220459,1.9900000095367432,0.6899999976158142,7,466|927|1389|1850|2312|2773|3235|3696
bsdrcnn,lucas,8,robust,static,0.74,1.5399999618530273,1.9700000286102295,0.6899999976158142,0.75,1.440000057220459,2.0199999809265137,0.6800000071525574,8,466|927|1389|1850|2312|2773|3235|3696
bsdrcnn,lucas,8,robust,static,0.74,1.4900000095367432,1.9700000286102295,0.6399999856948853,0.75,1.4600000381469727,2.0199999809265137,0.6899999976158142,9,466|927|1389|1850|2312|2773|3235|3696
bsdrcnn,lucas,8,robust,dyn,0.83,1.2000000476837158,2.4100000858306885,0.8299999833106995,0.85,1.1399999856948853,2.5899999141693115,0.8799999952316284,0,653|833|1398|1792|2024|2807|3449|3656
bsdrcnn,lucas,8,robust,dyn,0.85,1.1299999952316284,2.569999933242798,0.8799999952316284,0.85,1.1299999952316284,2.609999895095825,0.8899999856948853,1,663|863|1505|1836|2022|2791|3449|3718
bsdrcnn,lucas,8,robust,dyn,0.83,1.1699999570846558,2.450000047683716,0.8299999833106995,0.85,1.149999976158142,2.569999933242798,0.8799999952316284,2,648|828|1399|1790|2023|2787|3450|3667
bsdrcnn,lucas,8,robust,dyn,0.86,1.1299999952316284,2.6700000762939453,0.8799999952316284,0.84,1.1699999570846558,2.490000009536743,0.8600000143051147,3,651|847|1398|1785|2022|2791|3449|3645
bsdrcnn,lucas,8,robust,dyn,0.85,1.1799999475479126,2.569999933242798,0.8600000143051147,0.85,1.1100000143051147,2.609999895095825,0.8899999856948853,4,667|854|1500|1836|2022|2783|3449|3723
bsdrcnn,lucas,8,robust,dyn,0.84,1.190000057220459,2.490000009536743,0.8399999737739563,0.85,1.1299999952316284,2.5899999141693115,0.8899999856948853,5,640|818|1397|1793|2021|2783|3451|3661
bsdrcnn,lucas,8,robust,dyn,0.84,1.2200000286102295,2.5399999618530273,0.8299999833106995,0.85,1.1299999952316284,2.549999952316284,0.8799999952316284,6,638|809|1398|1794|2022|2787|3449|3661
bsdrcnn,lucas,8,robust,dyn,0.86,1.2000000476837158,2.640000104904175,0.8799999952316284,0.84,1.1399999856948853,2.5,0.8600000143051147,7,637|812|1397|1791|2022|2783|3451|3649
bsdrcnn,lucas,8,robust,dyn,0.84,1.2000000476837158,2.5299999713897705,0.8799999952316284,0.84,1.1399999856948853,2.5299999713897705,0.8600000143051147,8,650|837|1395|1789|2023|2784|3451|3652
bsdrcnn,lucas,8,robust,dyn,0.84,1.159999966621399,2.5399999618530273,0.8299999833106995,0.84,1.1699999570846558,2.509999990463257,0.8600000143051147,9,629|793|1399|1794|2023|2815|3451|3642
bsdrcnn,lucas,8,robust,semi,0.77,1.399999976158142,2.0799999237060547,0.7200000286102295,0.77,1.4199999570846558,2.0799999237060547,0.7099999785423279,0,567|862|1397|1884|2318|2793|3189|3644
bsdrcnn,lucas,8,robust,semi,0.76,1.4199999570846558,2.049999952316284,0.699999988079071,0.77,1.4299999475479126,2.059999942779541,0.699999988079071,1,555|850|1396|1888|2328|2801|3214|3634
bsdrcnn,lucas,8,robust,semi,0.75,1.440000057220459,1.9900000095367432,0.6800000071525574,0.77,1.409999966621399,2.0999999046325684,0.7099999785423279,2,561|860|1395|1886|2327|2807|3199|3641
bsdrcnn,lucas,8,robust,semi,0.79,1.399999976158142,2.1600000858306885,0.7099999785423279,0.76,1.4299999475479126,2.0299999713897705,0.699999988079071,3,555|865|1397|1888|2319|2785|3176|3631
