algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,r2_o,rmse_o,rpd_o,rpiq_o,train_r2,train_rmse,train_rpd,train_rpiq,train_r2_o,train_rmse_o,train_rpd_o,train_rpiq_o,execution_time,params,fold,selected_bands
bsdrfc_r_norder,lucas,16,robust,dyn,0.75,0.5880053639411926,1.841307520866394,1.5580954551696777,0.5514155626296997,0.5880053639411926,48.05812454223633,1.5580955743789673,0.5514156222343445,0.591494083404541,1.8903074264526367,1.5646388530731201,0.5249607563018799,0.591494083404541,49.3370246887207,1.5646388530731201,0.5249607563018799,8.554503679275513,197,0,395|396|398|1168|2014|2015|2449|2658|2992|2993|3466|3467|3821|3822
bsdrcnn_r,lucas,16,robust,dyn,0.75,0.8776774406433105,1.0054044723510742,2.8594765663146973,0.9669961333274841,0.8776773810386658,26.241056442260742,2.859476327896118,0.9669961333274841,0.8927927017211914,0.9677454829216003,3.0542261600494385,1.0452067852020264,0.8927927017211914,25.25815773010254,3.0542259216308594,1.045206904411316,57.02755165100098,4657,0,405|547|686|915|1165|1391|1805|2025|2135|2230|2653|2922|3467|3470|3688|3990
