algorithm,dataset,target_size,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,fold,selected_bands
bsdrcnn_100_dyn,lucas,100,0.89,0.949999988079071,3.0199999809265137,1.0299999713897705,0.92,0.8600000143051147,3.450000047683716,1.1799999475479126,0,43|102|107|177|250|252|307|371|375|431|484|506|535|586|617|672|700|730|796|821|860|890|944|990|1022|1077|1079|1127|1180|1250|1259|1352|1372|1409|1477|1518|1519|1554|1615|1622|1659|1664|1730|1775|1859|1883|2007|2012|2021|2080|2138|2181|2192|2225|2278|2296|2328|2416|2474|2487|2490|2532|2582|2633|2638|2669|2728|2765|2880|2891|2949|2972|2986|3034|3053|3123|3173|3203|3239|3252|3294|3347|3409|3464|3539|3554|3561|3577|3692|3727|3761|3774|3805|3890|3905|3948|3987|4022|4078|4104
bsdrcnn_100_st,lucas,100,0.89,0.9800000190734863,3.0199999809265137,1.0099999904632568,0.9,0.9399999976158142,3.130000114440918,1.0800000429153442,0,45|86|128|169|210|251|292|333|374|415|457|498|539|580|621|662|703|744|786|827|868|909|950|991|1032|1073|1115|1156|1197|1238|1279|1320|1361|1403|1444|1485|1526|1567|1608|1649|1690|1732|1773|1814|1855|1896|1937|1978|2019|2061|2102|2143|2184|2225|2266|2307|2348|2390|2431|2472|2513|2554|2595|2636|2677|2719|2760|2801|2842|2883|2924|2965|3006|3048|3089|3130|3171|3212|3253|3294|3335|3377|3418|3459|3500|3541|3582|3623|3664|3706|3747|3788|3829|3870|3911|3952|3993|4035|4076|4117
bsdrcnn_100_semi,lucas,100,0.89,0.9399999976158142,3.059999942779541,1.100000023841858,0.91,0.8799999952316284,3.369999885559082,1.1299999952316284,0,45|80|107|161|221|256|300|343|375|409|460|493|540|571|616|664|707|741|787|822|866|905|954|993|1029|1066|1108|1154|1200|1251|1281|1332|1357|1402|1446|1490|1522|1569|1613|1629|1679|1732|1767|1822|1855|1901|1946|1982|2025|2074|2115|2151|2201|2240|2265|2342|2353|2383|2416|2467|2491|2548|2605|2650|2666|2701|2775|2789|2832|2883|2921|2969|3005|3047|3098|3128|3171|3223|3249|3293|3304|3384|3423|3461|3500|3538|3567|3630|3668|3703|3746|3787|3820|3874|3905|3954|3990|4036|4076|4117
