algorithm,dataset,target_size,scaler_y,mode,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq
bsdrfc,lucas,4200,robust,static,0.88,1.0499999523162842,2.900000095367432,1.0,0.89,0.949999988079071,3.049999952316284,1.0299999713897705
bsdrfc,lucas,4200,robust,dyn,0.89,1.0299999713897705,2.9600000381469727,1.0199999809265137,0.89,0.949999988079071,3.059999942779541,1.0299999713897705
bsdrfc,lucas,4200,robust,semi,0.89,1.0299999713897705,2.970000028610229,1.0199999809265137,0.89,0.949999988079071,3.059999942779541,1.0399999618530271
