epoch,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8
0,0,0.9228100180625916,0.3295600116252899,3.173870086669922,0,3.1780099868774414,0.9244800209999084,0.3110499978065491,470,923,1385,1855,2316,2769,3239,3701
10,0,0.9866600036621094,0.3523600101470947,2.9684898853302,0,2.9719901084899902,0.988569974899292,0.33261001110076904,512,880,1343,1896,2352,2730,3282,3743
20,0.07501,1.0398499965667725,0.37136000394821167,2.8166399002075195,0.07937,2.81892991065979,1.042240023612976,0.3506700098514557,552,837,1309,1925,2375,2701,3324,3778
30,0.14154,1.079390048980713,0.38547998666763306,2.7134599685668945,0.14544,2.71589994430542,1.0817899703979492,0.363970011472702,582,798,1282,1944,2385,2666,3362,3792
40,0.18958,1.1109299659729004,0.39673998951911926,2.6364400386810303,0.19271,2.639709949493408,1.113010048866272,0.3744699954986572,595,764,1264,1978,2385,2649,3395,3789
50,0.23381,1.1425399780273438,0.4080300033092499,2.563499927520752,0.23624,2.5675599575042725,1.144279956817627,0.38499999046325684,582,743,1259,2027,2371,2665,3425,3777
60,0.27577,1.1751699447631836,0.41967999935150146,2.4923200607299805,0.2772,2.4977500438690186,1.176259994506836,0.3957599997520447,553,742,1258,2012,2345,2657,3456,3753
70,0.31263,1.2062699794769287,0.4307900071144104,2.4280600547790527,0.31309,2.434959888458252,1.2065999507904053,0.40595999360084534,520,759,1265,2022,2306,2662,3485,3729
80,0.34649,1.237130045890808,0.4418100118637085,2.367500066757202,0.34467,2.3783199787139893,1.2353399991989136,0.4156300127506256,499,761,1279,2019,2249,2662,3487,3716
90,0.37559,1.2656300067901611,0.451990008354187,2.3141798973083496,0.37236,2.3275299072265625,1.2622900009155273,0.424699991941452,503,750,1290,2019,2191,2666,3486,3703
100,0.40331,1.2946900129318237,0.46237000823020935,2.2622299194335938,0.39898,2.2776501178741455,1.2899399995803833,0.4339999854564667,528,763,1291,2020,2139,2675,3488,3691
