algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,r2_o,rmse_o,rpd_o,rpiq_o,train_r2,train_rmse,train_rpd,train_rpiq,train_r2_o,train_rmse_o,train_rpd_o,train_rpiq_o,execution_time,params
bsdrcnn_r,lucas,128,robust,dyn,0.75,0.904081964492798,0.9307629227638244,3.233177757263184,1.089053750038147,0.904081964492798,24.292913055419923,3.2331774711608885,1.0890537261962892,0.9146199345588684,0.8504717588424683,3.423504638671875,1.1732831954956056,0.9146199345588684,22.19731292724609,3.423504781723022,1.1732831954956056,235.4642433643341,17377
bsdrcnn,lucas,128,robust,dyn,0.75,0.8977333307266235,0.9247386813163756,3.129748106002808,1.0942774534225463,0.8977333188056946,24.13568000793457,3.129748010635376,1.0942774534225463,0.9161852598190308,0.8535865426063538,3.4579514503479003,1.1694098711013794,0.916185247898102,22.27860794067383,3.457951545715332,1.1694098711013794,161.50511212348937,17377
bsdrfc_r,lucas,128,robust,dyn,0.75,0.907090163230896,0.8958667874336242,3.283083200454712,1.1179612398147585,0.907090163230896,23.382122802734376,3.283083295822144,1.11796133518219,0.9187308073043824,0.8357603549957275,3.5139922142028808,1.1988725423812867,0.9187308073043824,21.81334533691406,3.513992118835449,1.1988725423812867,49.59033694267273,10689
bsdrfc,lucas,128,robust,dyn,0.75,0.9111544609069824,0.8855074286460877,3.3588343620300294,1.1500023126602172,0.9111544489860535,23.11174430847168,3.358834171295166,1.1500022888183594,0.9206392526626587,0.8221145272254944,3.560433101654053,1.2113673210144043,0.9206392407417298,21.457189559936523,3.560432958602905,1.2113673210144043,11.088514280319213,10689
