epoch,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,band_32
0,0,0.97079998254776,0.3230699896812439,3.1042399406433105,0,2.9982199668884277,0.9703500270843506,0.3335300087928772,134,252,386,503,638,755,881,1015,1133,1267,1393,1519,1636,1762,1896,2014,2140,2266,2392,2526,2643,2769,2895,3021,3155,3273,3407,3533,3659,3776,3910,4036
10,0.28794,1.18517005443573,0.39441001415252686,2.5427498817443848,0.28003,2.4684998989105225,1.1785800457000732,0.4050999879837036,176,257,426,461,631,719,839,1054,1170,1304,1432,1546,1627,1722,1893,2008,2114,2233,2370,2556,2601,2747,2881,2985,3185,3235,3443,3558,3692,3749,3898,4066
20,0.39187,1.2824499607086182,0.42677998542785645,2.3498799800872803,0.37961,2.291450023651123,1.2696399688720703,0.43641000986099243,221,298,469,431,591,703,795,1078,1201,1291,1439,1538,1613,1689,1864,2031,2112,2205,2389,2599,2557,2718,2889,2957,3202,3217,3475,3556,3712,3752,3884,4071
30,0.48419,1.3925000429153442,0.4634000062942505,2.1641600131988525,0.47034,2.117269992828369,1.3740899562835693,0.47231000661849976,256,341,505,436,557,708,751,1087,1183,1259,1401,1512,1634,1700,1887,2060,2146,2187,2396,2648,2517,2690,2931,2966,3216,3227,3452,3550,3738,3773,3844,4076
40,0.56291,1.5127099752426147,0.5034000277519226,1.9921799898147583,0.54911,1.9534900188446045,1.4892899990081787,0.511900007724762,272,379,523,465,562,724,704,1068,1138,1242,1357,1495,1644,1703,1912,2082,2148,2225,2381,2685,2474,2645,2956,2972,3225,3268,3434,3537,3760,3786,3838,4124
50,0.62593,1.6351699829101562,0.544160008430481,1.8429900407791138,0.61056,1.815500020980835,1.602489948272705,0.5508099794387817,284,397,537,469,581,751,664,1057,1099,1225,1318,1482,1633,1685,1933,2093,2163,2271,2379,2697,2451,2655,2955,2968,3249,3325,3440,3516,3737,3789,3839,4186
60,0.67545,1.7554999589920044,0.5842000246047974,1.7166600227355957,0.66383,1.6867799758911133,1.7247799634933472,0.5928500294685364,310,401,555,471,594,769,663,1043,1062,1201,1286,1457,1631,1680,1983,2120,2151,2310,2376,2711,2460,2649,2957,2966,3299,3379,3458,3501,3719,3793,3845,4210
70,0.72321,1.900920033454895,0.6325899958610535,1.5853400230407715,0.71229,1.5604599714279175,1.864400029182434,0.6408399939537048,343,403,576,492,610,768,676,1019,1057,1183,1267,1446,1635,1707,1971,2134,2168,2323,2342,2703,2489,2650,2958,2965,3361,3422,3462,3488,3714,3780,3869,4200
80,0.76127,2.046869993209839,0.6811599731445312,1.4723000526428223,0.75167,1.4497400522232056,2.0067899227142334,0.6897799968719482,358,407,588,521,618,774,682,1016,1058,1182,1260,1450,1630,1699,1977,2131,2152,2336,2344,2661,2486,2640,2959,2965,3412,3446,3461,3471,3721,3755,3901,4182
90,0.78772,2.170650005340576,0.7223600149154663,1.3883399963378906,0.77991,1.3648300170898438,2.1316399574279785,0.7326899766921997,357,417,592,542,629,784,687,1014,1053,1168,1260,1460,1631,1705,1976,2123,2164,2363,2345,2668,2486,2624,2960,2967,3434,3459,3463,3449,3732,3746,3921,4167
