epoch,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16
0,0,0.9500399827957153,0.32624998688697815,3.0504701137542725,0,3.1086199283599854,0.9483799934387207,0.3229199945926666,244,497,741,977,1230,1466,1710,1963,2207,2443,2688,2940,3176,3429,3665,3909
10,0.22433,1.1355400085449219,0.3899500072002411,2.5521700382232666,0.22808,2.5901401042938232,1.138219952583313,0.38756000995635986,241,523,708,937,1267,1450,1697,1957,2246,2402,2650,2910,3164,3466,3626,3916
20,0.3506,1.241029977798462,0.4261699914932251,2.3352200984954834,0.35786,2.3623900413513184,1.2479599714279175,0.424919992685318,280,523,664,913,1267,1485,1698,1986,2256,2359,2660,2895,3198,3493,3625,3905
30,0.45039,1.3489999771118164,0.4632500112056732,2.148319959640503,0.45198,2.1823999881744385,1.3508800268173218,0.45996999740600586,326,526,620,931,1229,1493,1701,1995,2231,2326,2654,2895,3227,3507,3660,3912
40,0.5302,1.459089994430542,0.5010600090026855,1.9862200021743774,0.52712,2.02728009223938,1.4542399644851685,0.4951600134372711,376,511,612,935,1188,1463,1701,1975,2185,2315,2659,2897,3242,3498,3681,3927
50,0.58961,1.5611399412155151,0.5360999703407288,1.8563799858093262,0.58357,1.9024300575256348,1.5496799945831299,0.5276600122451782,419,498,629,919,1157,1426,1699,1984,2151,2316,2656,2899,3255,3501,3685,3943
60,0.63457,1.6543999910354614,0.568120002746582,1.7517499923706055,0.62446,1.8066200017929077,1.6318700313568115,0.5556399822235107,437,519,641,930,1147,1388,1698,1979,2155,2310,2657,2901,3269,3501,3681,3928
70,0.66744,1.734220027923584,0.5955399870872498,1.6711100339889526,0.65708,1.7263699769973755,1.7077200412750244,0.5814700126647949,444,534,659,944,1143,1371,1695,1984,2154,2314,2655,2905,3291,3499,3678,3927
80,0.69672,1.815999984741211,0.6236199736595154,1.5958600044250488,0.68657,1.650480031967163,1.7862499952316284,0.608210027217865,456,548,672,940,1149,1366,1698,1986,2153,2314,2655,2909,3327,3494,3680,3938
90,0.72628,1.9115400314331055,0.6564300060272217,1.5161000490188599,0.71707,1.5681300163269043,1.8800499439239502,0.6401500105857849,473,561,681,939,1145,1365,1693,1989,2150,2304,2655,2918,3375,3492,3683,3941
100,0.75707,2.0290799140930176,0.6967899799346924,1.428279995918274,0.74918,1.4764399528503418,1.996809959411621,0.6798999905586243,491,574,685,935,1152,1363,1685,1994,2146,2304,2654,2923,3428,3492,3684,3941
110,0.78398,2.151740074157715,0.7389100193977356,1.3468600511550903,0.77731,1.3911999464035034,2.119149923324585,0.721560001373291,507,578,686,933,1160,1358,1664,2000,2139,2304,2652,2926,3472,3495,3682,3934
