epoch,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8
0,0,0.9240300059318542,0.3183700144290924,3.101870059967041,0,3.201630115509033,0.9240700006484985,0.3150300085544586,470,923,1385,1855,2316,2769,3239,3701
10,0,0.9899399876594543,0.3410800099372864,2.8953700065612793,0,2.9959399700164795,0.9875100255012512,0.3366599977016449,512,880,1343,1896,2352,2731,3282,3743
20,0.08421,1.0450600385665894,0.36006999015808105,2.742650032043457,0.07654,2.8429598808288574,1.0406500101089478,0.354779988527298,551,837,1308,1925,2374,2701,3324,3778
30,0.15135,1.0856200456619263,0.37404000759124756,2.6401898860931396,0.14265,2.739300012588501,1.0800299644470215,0.36820000410079956,582,798,1282,1945,2384,2666,3362,3792
40,0.19866,1.1172000169754028,0.3849300146102905,2.5655500888824463,0.19051,2.6617400646209717,1.1115000247955322,0.378930002450943,593,767,1265,1979,2383,2649,3395,3790
50,0.24269,1.1492199897766113,0.3959600031375885,2.494080066680908,0.2357,2.5863900184631348,1.143880009651184,0.38997000455856323,576,752,1260,2027,2368,2665,3425,3778
60,0.28344,1.181439995765686,0.40705999732017517,2.4260499477386475,0.27828,2.5132999420166016,1.177150011062622,0.401309996843338,545,753,1261,2012,2339,2658,3455,3754
70,0.3197,1.2125200033187866,0.41776999831199646,2.3638598918914795,0.31577,2.447160005569458,1.2089600563049316,0.4121600091457367,512,766,1271,2022,2295,2662,3484,3730
80,0.35006,1.2405200004577637,0.4274199903011322,2.3105099201202393,0.34825,2.3883800506591797,1.2387200593948364,0.4223000109195709,494,762,1285,2020,2237,2664,3487,3716
90,0.37601,1.2660499811172485,0.4362100064754486,2.263930082321167,0.37634,2.3363399505615234,1.2662999629974365,0.43171000480651855,501,753,1295,2019,2177,2664,3486,3703
100,0.40261,1.2939300537109375,0.44582000374794006,2.215130090713501,0.40367,2.2845699787139893,1.2949999570846558,0.4414899945259094,527,769,1293,2020,2127,2672,3487,3691
110,0.42941,1.3239699602127075,0.456169992685318,2.1648900508880615,0.43106,2.2314999103546143,1.3257999420166016,0.451990008354187,555,794,1292,2021,2088,2699,3484,3687
120,0.45345,1.3527699708938599,0.46608999371528625,2.1187798976898193,0.45597,2.1821000576019287,1.3558199405670166,0.46222999691963196,575,808,1296,2022,2066,2720,3487,3689
130,0.47324,1.377959966659546,0.4747700095176697,2.0800600051879883,0.47653,2.140470027923584,1.3821899890899658,0.4712199866771698,591,822,1300,2022,2074,2707,3487,3693
140,0.49017,1.4006400108337402,0.4825800061225891,2.046370029449463,0.49427,2.103869915008545,1.4062299728393555,0.47940999269485474,599,831,1310,2022,2080,2715,3486,3696
150,0.50624,1.423259973526001,0.4903799891471863,2.013859987258911,0.51101,2.0687599182128906,1.4300899505615234,0.4875499904155731,604,837,1316,2022,2086,2711,3486,3695
160,0.52158,1.4458999633789062,0.49818000197410583,1.982319951057434,0.52683,2.0350399017333984,1.4537899494171143,0.4956299960613251,609,842,1313,2021,2091,2713,3485,3690
170,0.53676,1.4693900346755981,0.5062699913978577,1.9506200551986694,0.54258,2.000880002975464,1.4786100387573242,0.5040900111198425,614,847,1308,2022,2094,2712,3485,3685
180,0.55126,1.4929399490356445,0.5143899917602539,1.9198499917984009,0.55747,1.9680299758911133,1.503290057182312,0.512499988079071,617,851,1303,2022,2100,2712,3486,3676
190,0.5645,1.5154600143432617,0.5221400260925293,1.8913300037384033,0.5715,1.9365899562835693,1.5276999473571777,0.5208200216293335,618,855,1305,2021,2106,2712,3484,3666
200,0.57822,1.5399199724197388,0.5305699706077576,1.8612899780273438,0.58569,1.9042500257492065,1.5536400079727173,0.529670000076294,619,859,1306,2022,2110,2712,3483,3658
210,0.59198,1.5656700134277344,0.5394499897956848,1.8306699991226196,0.59985,1.8714200258255005,1.5808900594711304,0.5389599800109863,619,866,1304,2022,2110,2712,3482,3651
220,0.60528,1.5918200016021729,0.5484600067138672,1.8006000518798828,0.61358,1.8390400409698486,1.608739972114563,0.5484499931335449,624,871,1303,2022,2106,2713,3482,3648
230,0.61737,1.6167800426483154,0.5570499897003174,1.7728099822998047,0.62561,1.8101799488067627,1.6343799829483032,0.5571900010108948,628,881,1304,2023,2108,2713,3481,3645
240,0.62694,1.6373900175094604,0.5641499757766724,1.7504899501800537,0.63574,1.785539984703064,1.65693998336792,0.5648800134658813,634,886,1307,2022,2113,2717,3481,3643
250,0.63616,1.6579999923706055,0.5712599754333496,1.7287299633026123,0.64544,1.7616100311279297,1.6794500350952148,0.5725600123405457,636,889,1311,2023,2123,2717,3481,3638
260,0.64467,1.6777499914169312,0.57805997133255,1.7083799839019775,0.65469,1.7384699583053589,1.7017899751663208,0.5801799893379211,636,889,1314,2023,2140,2717,3481,3637
