epoch,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16
0,0,0.9488199949264526,0.30300000309944153,3.1991400718688965,0,3.058310031890869,0.9487900137901306,0.3307400047779083,244,497,741,977,1230,1466,1710,1963,2207,2443,2688,2940,3176,3429,3665,3909
10,0.2288,1.1388200521469116,0.36368000507354736,2.6653900146484375,0.22839,2.5488200187683105,1.138450026512146,0.39684998989105225,242,522,708,937,1268,1452,1699,1956,2246,2402,2650,2911,3166,3466,3626,3914
20,0.36189,1.2519700527191162,0.39980998635292053,2.424499988555908,0.35497,2.3304100036621094,1.2451499700546265,0.43404000997543335,281,520,666,911,1266,1488,1700,1984,2252,2360,2661,2896,3200,3491,3624,3905
30,0.4594,1.360200047492981,0.4343799948692322,2.2315800189971924,0.45011,2.1516799926757812,1.348580002784729,0.4700999855995178,328,522,620,928,1229,1493,1700,1994,2223,2328,2655,2894,3227,3508,3659,3912
40,0.53781,1.471060037612915,0.46977999806404114,2.0634100437164307,0.5245,2.000849962234497,1.4502400159835815,0.5055299997329712,378,508,609,936,1188,1461,1698,1975,2177,2319,2659,2896,3240,3496,3679,3926
50,0.59665,1.5747100114822388,0.5028799772262573,1.927590012550354,0.58002,1.880429983139038,1.5431100130081177,0.537909984588623,421,494,626,921,1156,1424,1698,1984,2148,2315,2656,2897,3249,3503,3683,3938
60,0.63985,1.6664799451828003,0.5321900248527527,1.8214399814605713,0.62062,1.7872200012207031,1.623579978942871,0.5659599900245667,439,516,637,930,1145,1387,1700,1977,2155,2310,2657,2898,3255,3500,3680,3928
70,0.67275,1.7482199668884277,0.5582900047302246,1.7362799644470215,0.651,1.7141599655151367,1.6927800178527832,0.5900800228118896,448,531,653,939,1141,1370,1697,1983,2151,2317,2655,2900,3263,3501,3677,3924
80,0.70102,1.829010009765625,0.584089994430542,1.6595799922943115,0.67754,1.6477099657058716,1.7610599994659424,0.6138799786567688,462,545,666,936,1145,1366,1699,1984,2150,2316,2655,2900,3273,3494,3678,3933
90,0.72626,1.9114999771118164,0.6104300022125244,1.5879700183868408,0.70114,1.5862599611282349,1.8292700052261353,0.637660026550293,478,556,674,938,1144,1367,1694,1987,2147,2308,2654,2902,3291,3491,3682,3935
100,0.75096,2.004040002822876,0.639989972114563,1.514639973640442,0.72521,1.5210299491882324,1.907729983329773,0.6650099754333496,490,568,681,933,1148,1363,1693,1990,2144,2303,2655,2915,3331,3489,3685,3935
110,0.77961,2.1302900314331055,0.6802999973297119,1.4248700141906738,0.75286,1.4424899816513062,2.0116000175476074,0.7012100219726562,503,576,685,932,1152,1356,1685,1995,2140,2302,2655,2921,3388,3492,3685,3935
120,0.80639,2.272890090942383,0.7258399724960327,1.335479974746704,0.77841,1.3659000396728516,2.1243999004364014,0.7405300140380859,513,581,686,931,1154,1351,1677,2001,2137,2305,2652,2924,3446,3492,3682,3934
