epoch,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8
0,0,0.9241099953651428,0.3056800067424774,3.246340036392212,0,3.1535398960113525,0.9240300059318542,0.31832000613212585,470,923,1385,1855,2316,2769,3239,3701
10,0,0.9864500164985657,0.3262999951839447,3.041179895401001,0,2.9474899768829346,0.9886199831962585,0.34057000279426575,512,880,1343,1896,2352,2731,3282,3743
20,0.0732,1.038830041885376,0.34362998604774475,2.88782000541687,0.07983,2.795140027999878,1.0425100326538086,0.35912999510765076,551,837,1309,1925,2374,2701,3324,3778
30,0.13948,1.0780999660491943,0.35662001371383667,2.782639980316162,0.14594,2.6928598880767822,1.0821000337600708,0.3727700114250183,582,798,1282,1945,2385,2666,3362,3792
40,0.18769,1.1096299886703491,0.3670499920845032,2.7035698890686035,0.19286,2.6178500652313232,1.1131099462509155,0.38345998525619507,594,766,1266,1979,2383,2649,3395,3788
50,0.2317,1.14096999168396,0.37740999460220337,2.629300117492676,0.23587,2.547149896621704,1.1440099477767944,0.39410001039505005,579,747,1262,2027,2369,2666,3425,3775
60,0.27529,1.174780011177063,0.3885999917984009,2.5536301136016846,0.27774,2.476370096206665,1.1766999959945679,0.40536001324653625,547,752,1263,2011,2342,2658,3455,3749
70,0.31187,1.2056100368499756,0.39879000186920166,2.488339900970459,0.3143,2.4128899574279785,1.2076599597930908,0.41602998971939087,514,771,1272,2022,2302,2662,3483,3725
80,0.34503,1.2357399463653564,0.4087600111961365,2.4276599884033203,0.34611,2.356250047683716,1.2366900444030762,0.4260300099849701,495,770,1286,2018,2245,2663,3487,3712
90,0.3743,1.2643200159072876,0.4182099997997284,2.3727900981903076,0.3741,2.305269956588745,1.2640399932861328,0.4354499876499176,501,758,1296,2019,2187,2666,3485,3701
100,0.40166,1.2929099798202515,0.4276700019836426,2.3203299045562744,0.40102,2.2551400661468506,1.292140007019043,0.44512999057769775,526,769,1296,2021,2134,2678,3487,3689
110,0.42942,1.3239799737930298,0.4379499852657318,2.2658700942993164,0.42812,2.203550100326538,1.3223899602890015,0.4555499851703644,555,795,1294,2021,2094,2708,3484,3684
120,0.4552,1.3549400568008423,0.44819000363349915,2.21409010887146,0.45264,2.155780076980591,1.3516900539398193,0.4656499922275543,577,810,1297,2021,2070,2717,3487,3685
130,0.47659,1.382349967956543,0.45726001262664795,2.170180082321167,0.4726,2.11611008644104,1.3770300149917603,0.4743799865245819,593,823,1301,2022,2078,2709,3486,3689
140,0.49495,1.4072599411010742,0.46549999713897705,2.131769895553589,0.49007,2.0807700157165527,1.4004199504852295,0.48243001103401184,601,833,1310,2022,2086,2715,3486,3693
150,0.51188,1.4314500093460083,0.47350001335144043,2.095750093460083,0.5065,2.0469799041748047,1.4235399961471558,0.4903999865055084,607,839,1317,2022,2091,2711,3486,3693
160,0.5278,1.4553799629211426,0.4814099967479706,2.0612900257110596,0.52197,2.0146501064300537,1.4463900327682495,0.4982700049877167,612,846,1315,2021,2096,2712,3485,3689
170,0.54368,1.4804799556732178,0.4897199869155884,2.0263400077819824,0.53717,1.9823600053787231,1.4699499607086182,0.506380021572113,617,850,1310,2022,2100,2712,3485,3684
180,0.55897,1.5059399604797363,0.49814000725746155,1.9920799732208252,0.55194,1.9504599571228027,1.493980050086975,0.5146600008010864,619,854,1305,2021,2102,2712,3486,3676
190,0.5727,1.5299299955368042,0.5060799717903137,1.9608500003814697,0.5654,1.9209400415420532,1.5169399976730347,0.522570013999939,619,858,1302,2022,2108,2712,3484,3666
200,0.58632,1.554919958114624,0.5143399834632874,1.9293299913406372,0.57885,1.8909800052642822,1.540969967842102,0.5308499932289124,623,863,1305,2022,2112,2712,3484,3658
210,0.60037,1.58201003074646,0.5232999920845032,1.896299958229065,0.59288,1.8592300415039062,1.56728994846344,0.5399199724197388,624,871,1307,2021,2112,2712,3482,3650
220,0.61441,1.610569953918457,0.5327500104904175,1.8626699447631836,0.60685,1.8270399570465088,1.5949100255966187,0.5494300127029419,627,877,1305,2021,2110,2713,3483,3645
230,0.62737,1.638319969177246,0.5419300198554993,1.8311200141906738,0.61945,1.7975200414657593,1.6210999488830566,0.5584499835968018,633,888,1304,2022,2107,2714,3482,3644
240,0.63778,1.6617100238800049,0.5496699810028076,1.8053499460220337,0.62948,1.7736899852752686,1.6428799629211426,0.5659599900245667,637,888,1304,2022,2110,2717,3481,3642
250,0.6473,1.6839699745178223,0.5570300221443176,1.7814799547195435,0.63914,1.7504099607467651,1.664720058441162,0.5734800100326538,637,890,1304,2022,2120,2717,3481,3638
