algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,r2_o,rmse_o,rpd_o,rpiq_o,train_r2,train_rmse,train_rpd,train_rpiq,train_r2_o,train_rmse_o,train_rpd_o,train_rpiq_o,execution_time,params
bsdrfc_r,lucas,8,robust,dyn,0.05,0.5395094752311707,2.0012521743774414,1.4736696481704712,0.5035161375999451,0.5395095348358154,52.23268127441406,1.4736696481704712,0.5035161375999451,0.5486406087875366,1.7896052598953247,1.4891493320465088,0.5138229131698608,0.5486405491828918,46.70869827270508,1.4891492128372192,0.5138228535652161,5.475961923599243,409
bsdrfc_r,lucas,8,robust,static,0.05,0.3694659471511841,2.341778039932251,1.259378433227539,0.4302981495857239,0.3694660067558288,61.12040328979492,1.259378433227539,0.4302982091903686,0.3686754703521728,2.1165196895599365,1.2591376304626465,0.4344585835933685,0.3686754703521728,55.24116516113281,1.259137511253357,0.4344585537910461,2.4873359203338623,401
bsdrfc_r,lucas,8,robust,dyn,0.15,0.5819412469863892,1.895407557487488,1.5466536283493042,0.5296124219894409,0.5819412469863892,49.47013854980469,1.5466536283493042,0.5296124219894409,0.5906988382339478,1.893094539642334,1.5633095502853394,0.5211520195007324,0.5906988382339478,49.409767150878906,1.5633095502853394,0.5211520195007324,4.844939708709717,409
bsdrfc_r,lucas,8,robust,static,0.15,0.4160619378089905,2.240099668502808,1.3086645603179932,0.4481190741062164,0.4160619974136352,58.46659851074219,1.3086645603179932,0.4481191337108612,0.4210684895515442,2.251460790634156,1.314476728439331,0.4381999671459198,0.4210684299468994,58.763126373291016,1.314476728439331,0.4381999671459198,2.796252727508545,401
bsdrfc_r,lucas,8,robust,dyn,0.25,0.568840742111206,1.911676406860352,1.522980809211731,0.5210968255996704,0.5688406825065613,49.894752502441406,1.5229806900024414,0.5210968852043152,0.570000171661377,1.97187340259552,1.5251260995864868,0.5168470740318298,0.570000171661377,51.46590042114258,1.5251259803771973,0.5168470144271851,5.26035737991333,409
bsdrfc_r,lucas,8,robust,static,0.25,0.401216447353363,2.252840518951416,1.2923446893692017,0.4421833455562591,0.4012163281440735,58.79914093017578,1.2923444509506226,0.4421833455562591,0.3997268080711365,2.329803705215454,1.29081928730011,0.4374433159828186,0.3997268676757812,60.80788040161133,1.29081928730011,0.4374432861804962,3.367249011993408,401
bsdrfc_r,lucas,8,robust,dyn,0.35,0.538122296333313,1.9862829446792605,1.4714714288711548,0.4957371950149536,0.538122296333313,51.84198760986328,1.4714714288711548,0.4957371950149536,0.562175989151001,1.958230257034301,1.5113974809646606,0.5243611931800842,0.562175989151001,51.109806060791016,1.5113976001739502,0.5243611931800842,5.4026360511779785,409
bsdrfc_r,lucas,8,robust,static,0.35,0.391065239906311,2.280672788619995,1.2815334796905518,0.4317473173141479,0.391065239906311,59.52556228637695,1.2815334796905518,0.4317472875118255,0.4081621170043945,2.276750087738037,1.2999513149261477,0.4510024785995483,0.4081620573997497,59.42317962646485,1.2999513149261477,0.4510024487972259,4.650102138519287,401
bsdrfc_r,lucas,8,robust,dyn,0.45,0.5516692399978638,1.982573628425598,1.493546962738037,0.5043948888778687,0.5516692399978638,51.74517059326172,1.493546962738037,0.5043949484825134,0.5538485050201416,1.9399117231369016,1.4972039461135864,0.5154873728752136,0.5538485050201416,50.63169479370117,1.497204065322876,0.5154874324798584,6.837239980697632,409
bsdrfc_r,lucas,8,robust,static,0.45,0.3969677686691284,2.299324750900269,1.2877984046936035,0.4349102973937988,0.3969678282737732,60.01237487792969,1.2877984046936035,0.4349103271961212,0.4010556936264038,2.247677564620972,1.292197585105896,0.4449036717414856,0.4010556936264038,58.66438293457031,1.292197585105896,0.4449037313461303,7.478503465652466,401
