algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,r2_o,rmse_o,rpd_o,rpiq_o,train_r2,train_rmse,train_rpd,train_rpiq,train_r2_o,train_rmse_o,train_rpd_o,train_rpiq_o,execution_time,params
bsdrfc,lucas,8,robust,dyn,0.75,0.5711007118225098,1.9510825872421265,1.5270813703536987,0.5184271931648254,0.571100652217865,50.92325973510742,1.5270812511444092,0.5184270739555359,0.5761462450027466,1.9016286134719849,1.5360496044158936,0.5238502025604248,0.5761462450027466,49.632511138916016,1.5360496044158936,0.5238502025604248,5.095641136169434,409
bsdrfc,lucas,16,robust,dyn,0.75,0.685728907585144,1.6329890489578247,1.7839704751968384,0.6112008690834045,0.685728907585144,42.62101364135742,1.7839704751968384,0.6112008094787598,0.6926524639129639,1.6316386461257937,1.8038418292999268,0.6152290105819702,0.6926524639129639,42.58576965332031,1.8038417100906368,0.6152290105819702,4.250013113021851,737
bsdrfc,lucas,32,robust,dyn,0.75,0.7916898727416992,1.3077551126480105,2.191213607788086,0.7697961926460266,0.7916898727416992,34.132408142089844,2.191213607788086,0.7697962522506714,0.8010494112968445,1.3196810483932495,2.242026090621948,0.7548555135726929,0.8010494112968445,34.44367599487305,2.242026090621948,0.7548555731773376,4.8531882762908936,1393
bsdrfc,lucas,64,robust,dyn,0.75,0.8366104364395142,1.2038578987121582,2.4741597175598145,0.8242975473403931,0.8366104364395142,31.420690536499023,2.4741599559783936,0.8242975473403931,0.8252744078636169,1.221089482307434,2.392406940460205,0.8252161741256714,0.8252744078636169,31.87043571472168,2.392406702041626,0.8252161741256714,6.000073194503784,2705
bsdrfc,lucas,128,robust,dyn,0.75,0.8414604663848877,1.1662675142288208,2.511718988418579,0.8730408549308777,0.8414604663848877,30.4395809173584,2.511718988418579,0.8730408549308777,0.8331567645072937,1.1999834775924685,2.448268413543701,0.8301519155502319,0.8331568241119385,31.31957054138184,2.448268413543701,0.8301518559455872,7.983222484588623,5329
bsdrfc,lucas,256,robust,dyn,0.75,0.803068220615387,1.2523930072784424,2.253626823425293,0.801530659198761,0.803068220615387,32.68745803833008,2.253626823425293,0.801530659198761,0.8415840864181519,1.1830790042877195,2.512545585632324,0.8452520966529846,0.8415840864181519,30.87836265563965,2.512545347213745,0.8452521562576294,12.080987930297852,10577
bsdrfc,lucas,512,robust,dyn,0.75,0.8387439250946045,1.1567559242248535,2.49047327041626,0.877735435962677,0.8387439250946045,30.191329956054688,2.49047327041626,0.877735435962677,0.8437932729721069,1.1673996448516846,2.530250072479248,0.8533226847648621,0.8437932729721069,30.469133377075195,2.530249834060669,0.8533226251602173,20.288352251052856,21073
