algorithm,dataset,target_size,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq
bsdrcnn,lucas_crop,200,-0.37,0.9700000286102296,0.8500000238418579,0.7900000214576721,0.85,0.8199999928474426,2.5999999046325684,1.3300000429153442
bsdrcnn,lucas_crop_asa,200,0.65,0.5199999809265137,1.690000057220459,1.440000057220459,0.86,0.7200000286102295,2.6700000762939453,1.5299999713897705
