epoch,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16
210,0.83355,2.451319932937622,0.8608700037002563,1.1304600238800049,0.84924,1.1602699756622314,2.575550079345703,0.8717700242996216,508,585,689,914,1172,1331,1672,2015,2145,2293,2653,2923,3462,3464,3693,3911
220,0.83647,2.4731199741363525,0.8685299754142761,1.1204899549484253,0.85175,1.1505800485610962,2.597249984741211,0.8791199922561646,508,585,690,914,1173,1329,1671,2016,2145,2288,2652,2923,3461,3462,3691,3911
230,0.8392,2.494029998779297,0.8758699893951416,1.1110999584197998,0.854,1.1418100595474243,2.617189884185791,0.8858699798583984,508,585,691,914,1173,1326,1673,2017,2143,2282,2652,2923,3462,3464,3689,3911
240,0.84123,2.509860038757324,0.8814299702644348,1.1040899753570557,0.85583,1.134619951248169,2.633780002593994,0.8914899826049805,508,585,691,914,1172,1325,1671,2018,2139,2270,2651,2922,3461,3463,3687,3911
250,0.84258,2.520659923553467,0.8852199912071228,1.0993599891662598,0.85711,1.1295700073242188,2.645550012588501,0.8954700231552124,508,584,691,914,1171,1324,1672,2018,2136,2257,2651,2923,3461,3463,3687,3911
260,0.84554,2.5446300506591797,0.8936399817466736,1.0889999866485596,0.85876,1.123039960861206,2.660939931869507,0.9006800055503845,508,584,692,914,1173,1322,1671,2019,2138,2256,2651,2922,3461,3464,3686,3911
270,0.84719,2.558379888534546,0.8984699845314026,1.083150029182434,0.86044,1.1163400411605835,2.6768999099731445,0.9060800075531006,508,585,692,914,1173,1320,1673,2019,2138,2255,2650,2922,3461,3464,3684,3912
280,0.84771,2.562769889831543,0.9000099897384644,1.0813000202178955,0.86172,1.1112300157546997,2.6892199516296387,0.9102500081062317,508,584,692,914,1172,1320,1674,2019,2138,2254,2649,2923,3462,3683,3912
290,0.85012,2.5832200050354004,0.9071999788284302,1.0727299451828003,0.86332,1.1047699451446533,2.704930067062378,0.9155700206756592,508,584,692,914,1173,1318,1675,2020,2138,2254,2649,2922,3461,3463,3682,3914
300,0.85115,2.592170000076294,0.9103400111198425,1.0690300464630127,0.86349,1.1040699481964111,2.7066400051116943,0.9161499738693237,507,583,693,913,1174,1317,1677,2020,2137,2251,2649,2922,3462,3463,3682,3922
310,0.8524,2.603100061416626,0.9141799807548523,1.0645400285720825,0.8645,1.100000023841858,2.7166800498962402,0.9195399880409241,504,583,692,914,1174,1318,1676,2021,2136,2251,2650,2922,3463,3684,3919
320,0.85314,2.609639883041382,0.9164699912071228,1.0618699789047241,0.86586,1.0944299697875977,2.7304999828338623,0.9242200255393982,502,582,692,914,1174,1318,1675,2021,2138,2251,2649,2922,3462,3463,3684,3916
330,0.85387,2.6162099838256836,0.9187800288200378,1.059209942817688,0.86684,1.0904500484466553,2.74045991897583,0.927590012550354,502,581,691,913,1173,1318,1676,2021,2137,2251,2649,2922,3461,3467,3682,3913
340,0.85509,2.62716007232666,0.9226300120353699,1.0547900199890137,0.86779,1.0865700244903564,2.7502601146698,0.9309099912643433,501,580,690,913,1173,1318,1678,2021,2137,2251,2648,2923,3464,3681,3912
350,0.85582,2.6338601112365723,0.9249799847602844,1.052109956741333,0.86855,1.0834100246429443,2.758270025253296,0.9336199760437012,500,579,690,913,1173,1317,1677,2022,2138,2251,2649,2923,3463,3466,3680,3911
360,0.85661,2.6411099433898926,0.9275199770927429,1.0492199659347534,0.86927,1.0804400444030762,2.765850067138672,0.9361900091171265,498,579,690,913,1173,1316,1678,2022,2138,2250,2648,2923,3464,3465,3679,3911
370,0.85733,2.6477599143981934,0.92985999584198,1.046589970588684,0.87,1.0774400234222412,2.773550033569336,0.9387900233268738,496,577,690,913,1172,1315,1677,2022,2138,2250,2649,2922,3464,3465,3678,3911
380,0.85811,2.6550400257110596,0.932420015335083,1.043720006942749,0.87056,1.075119972229004,2.7795400619506836,0.9408199787139893,494,576,689,913,1172,1315,1677,2022,2138,2249,2648,2922,3464,3466,3678,3912
390,0.85527,2.628809928894043,0.9232100248336792,1.054129958152771,0.8688,1.0823999643325806,2.7608399391174316,0.9344900250434875,492,576,689,914,1172,1316,1676,2022,2137,2248,2649,2922,3463,3465,3679,3912
400,0.85898,2.6631999015808105,0.9352800250053406,1.0405199527740479,0.87167,1.0705000162124634,2.791529893875122,0.9448800086975098,490,575,689,913,1173,1315,1677,2022,2139,2248,2648,2922,3464,3466,3680,3912
410,0.86009,2.6736900806427,0.9389700293540955,1.0364400148391724,0.87262,1.066499948501587,2.802000045776367,0.948419988155365,488,574,689,913,1172,1314,1676,2022,2140,2248,2646,2923,3465,3680,3912
420,0.86057,2.6782898902893066,0.9405800104141235,1.0346599817276,0.87311,1.0644400119781494,2.807420015335083,0.9502599835395813,487,573,688,913,1171,1313,1677,2022,2140,2247,2647,2923,3465,3680,3912
430,0.86142,2.686490058898926,0.9434599876403809,1.031499981880188,0.87385,1.061329960823059,2.8156399726867676,0.9530400037765503,486,572,688,912,1171,1313,1677,2022,2140,2248,2647,2923,3465,3466,3679,3912
440,0.86128,2.6851999759674072,0.9430099725723267,1.031999945640564,0.87398,1.060789942741394,2.8170900344848633,0.9535300135612488,485,572,687,912,1170,1313,1677,2023,2140,2248,2646,2922,3464,3467,3679,3912
450,0.86222,2.694309949874878,0.9462100267410278,1.028499960899353,0.87472,1.057669997215271,2.825390100479126,0.9563400149345398,484,571,686,910,1170,1313,1677,2023,2140,2248,2646,2923,3466,3679,3912
460,0.86311,2.703000068664551,0.9492599964141846,1.0252000093460083,0.87544,1.0546300411224365,2.8335399627685547,0.9591000080108643,482,570,685,909,1170,1313,1677,2023,2140,2247,2646,2922,3465,3469,3678,3912
470,0.86046,2.6772899627685547,0.9402300119400024,1.035040020942688,0.87338,1.0633399486541748,2.8103199005126953,0.9512400031089783,479,570,686,910,1170,1313,1677,2023,2139,2245,2647,2922,3466,3679,3913
480,0.86364,2.7082700729370117,0.9511100053787231,1.0232000350952148,0.87609,1.0518900156021118,2.8409299850463867,0.9616000056266785,480,569,685,910,1171,1313,1677,2023,2139,2246,2648,2922,3465,3468,3680,3913
490,0.86446,2.7165000438690186,0.9539999961853027,1.0200999975204468,0.87688,1.0485399961471558,2.849989891052246,0.9646700024604797,479,568,684,908,1170,1313,1677,2023,2140,2246,2646,2922,3465,3467,3679,3913
500,0.86476,2.7195000648498535,0.955049991607666,1.0189800262451172,0.87736,1.046489953994751,2.8555800914764404,0.9665600061416626,477,567,683,907,1170,1313,1677,2023,2140,2246,2646,2922,3465,3468,3678,3913
510,0.86514,2.723330020904541,0.9563999772071838,1.0175399780273438,0.87781,1.044569969177246,2.860840082168579,0.9683399796485901,475,566,683,907,1170,1313,1677,2023,2140,2246,2646,2922,3466,3467,3678,3913
520,0.86561,2.7281200885772705,0.958079993724823,1.0157599449157715,0.87836,1.0421899557113647,2.8673601150512695,0.970550000667572,474,565,683,907,1170,1313,1677,2023,2141,2246,2647,2922,3465,3469,3677,3913
530,0.86422,2.7141199111938477,0.9531599879264832,1.0210000276565552,0.87695,1.0482499599456787,2.8507800102233887,0.96492999792099,473,564,682,905,1170,1313,1677,2024,2141,2246,2647,2922,3467,3469,3677,3914
540,0.86528,2.7247700691223145,0.9569100141525269,1.017009973526001,0.87811,1.0433000326156616,2.8643100261688232,0.9695199728012085,471,563,681,905,1170,1313,1677,2024,2140,2245,2647,2922,3467,3678,3914
550,0.86687,2.7409799098968506,0.9625999927520752,1.010990023612976,0.87956,1.0370399951934814,2.881589889526367,0.9753599762916565,468,561,680,905,1169,1313,1677,2024,2140,2244,2646,2922,3466,3471,3678,3914
560,0.86666,2.7387499809265137,0.9618200063705444,1.0118099451065063,0.87978,1.0361000299453735,2.8842198848724365,0.9762499928474426,466,560,679,904,1169,1313,1677,2023,2140,2244,2646,2922,3468,3470,3677,3914
570,0.8673,2.7454400062561035,0.9641600251197815,1.0093499422073364,0.8804,1.0334500074386597,2.891619920730591,0.9787600040435791,464,559,680,904,1169,1313,1677,2024,2140,2243,2646,2922,3467,3469,3676,3914
580,0.86628,2.7348499298095703,0.9604499936103821,1.013260006904602,0.87949,1.037369966506958,2.88070011138916,0.975059986114502,462,557,679,903,1169,1312,1676,2024,2140,2244,2646,2921,3467,3470,3676,3914
590,0.86776,2.750119924545288,0.9658100008964539,1.0076299905776978,0.88062,1.0324900150299072,2.8942999839782715,0.979669988155365,460,556,678,903,1169,1312,1677,2024,2140,2244,2646,2922,3469,3470,3677,3914
600,0.86774,2.7499899864196777,0.9657599925994873,1.007680058479309,0.88097,1.0309699773788452,2.898560047149658,0.9811099767684937,459,556,678,903,1169,1313,1677,2024,2140,2244,2646,2922,3468,3469,3677,3915
610,0.86806,2.7532999515533447,0.966920018196106,1.006469964981079,0.88157,1.0283700227737427,2.905910015106201,0.9835900068283081,459,556,678,904,1169,1313,1677,2024,2140,2243,2646,2922,3468,3471,3677,3916
620,0.86823,2.755039930343628,0.9675400257110596,1.0058300495147705,0.88149,1.0286999940872192,2.904949903488159,0.983269989490509,459,555,677,903,1169,1313,1677,2024,2141,2243,2646,2922,3469,3677,3906
630,0.8687,2.7599799633026123,0.9692699909210205,1.0040299892425537,0.88226,1.02538001537323,2.9143600463867188,0.9864500164985657,458,555,677,904,1169,1313,1677,2024,2140,2243,2646,2922,3469,3472,3678,3900
640,0.86896,2.7626900672912598,0.9702200293540955,1.0030499696731567,0.88246,1.0245000123977661,2.916879892349243,0.987309992313385,456,554,677,903,1169,1313,1677,2024,2140,2242,2647,2922,3470,3471,3677,3897
650,0.86883,2.761399984359741,0.9697700142860413,1.0035200119018555,0.88274,1.0232900381088257,2.920330047607422,0.9884799718856812,454,553,676,903,1168,1313,1677,2024,2140,2242,2647,2922,3468,3472,3677,3896
660,0.87005,2.774329900741577,0.9743099808692932,0.9988399744033813,0.88381,1.0186100006103516,2.9337399005889893,0.9930199980735779,452,552,675,903,1169,1313,1677,2024,2140,2242,2647,2922,3470,3471,3677,3896
670,0.86922,2.7654500007629395,0.9711899757385254,1.0020500421524048,0.883,1.022130012512207,2.923640012741089,0.9895899891853333,450,550,675,903,1169,1313,1677,2024,2140,2241,2646,2922,3469,3472,3677,3895
680,0.86913,2.7645699977874756,0.9708799719810486,1.002369999885559,0.88328,1.0209100246429443,2.9271199703216553,0.9907699823379517,448,550,674,903,1168,1313,1677,2024,2140,2242,2647,2922,3470,3472,3677,3895
690,0.86996,2.773279905319214,0.9739400148391724,0.9992200136184692,0.88392,1.0181299448013306,2.935120105743408,0.9934800267219543,447,548,674,903,1169,1313,1677,2024,2140,2241,2646,2922,3469,3471,3676,3894
700,0.87048,2.7788898944854736,0.9759100079536438,0.9972000122070312,0.88462,1.0150400400161743,2.9440600872039795,0.9965100288391113,444,548,674,903,1169,1313,1677,2024,2140,2242,2646,2922,3470,3473,3676,3894
710,0.87089,2.7832999229431152,0.9774600267410278,0.9956200122833252,0.88502,1.0132499933242798,2.9492499828338623,0.9982600212097168,442,547,674,902,1169,1313,1677,2024,2141,2242,2646,2922,3470,3676,3893
720,0.87146,2.789479970932007,0.9796299934387207,0.9934200048446655,0.88569,1.0103299617767334,2.957779884338379,1.0011500120162964,440,546,673,902,1169,1313,1678,2024,2140,2241,2647,2922,3470,3472,3676,3892
730,0.87171,2.7922000885009766,0.9805899858474731,0.9924499988555908,0.88603,1.0088000297546387,2.962280035018921,1.0026700496673584,439,546,673,902,1169,1313,1677,2024,2140,2241,2647,2922,3470,3472,3676,3892
740,0.86972,2.770750045776367,0.9730499982833862,1.0001300573349,0.88413,1.0171699523925781,2.937880039215088,0.9944199919700623,439,545,673,902,1169,1313,1677,2024,2140,2241,2647,2922,3471,3474,3676,3891
750,0.87108,2.7853899002075195,0.978190004825592,0.9948700070381165,0.88564,1.0105199813842773,2.9572300910949707,1.0009700059890747,437,545,673,902,1169,1313,1678,2024,2140,2241,2647,2923,3471,3472,3677,3891
760,0.87139,2.788680076599121,0.9793499708175659,0.9937000274658203,0.88585,1.0096299648284912,2.959820032119751,1.0018399953842163,436,544,673,903,1169,1313,1677,2024,2140,2241,2646,2922,3471,3677,3890
770,0.87233,2.798949956893921,0.9829599857330322,0.9900500178337097,0.88699,1.0045700073242188,2.97475004196167,1.0068999528884888,435,544,673,903,1169,1313,1678,2024,2140,2241,2646,2922,3470,3474,3677,3890
780,0.87173,2.7923901081085205,0.980650007724762,0.9923800230026245,0.88653,1.0065799951553345,2.968790054321289,1.0048799514770508,434,544,673,903,1169,1313,1677,2024,2140,2241,2647,2922,3471,3473,3677,3889
790,0.87297,2.805999994277954,0.9854300022125244,0.9875699877738953,0.88767,1.0015100240707397,2.9838199615478516,1.00996994972229,434,544,673,903,1169,1313,1677,2024,2140,2240,2647,2922,3471,3473,3678,3889
800,0.87307,2.8071000576019287,0.9858199954032898,0.9871799945831299,0.88776,1.0011399984359741,2.9849300384521484,1.0103399753570557,433,544,672,903,1169,1313,1677,2024,2140,2239,2646,2922,3471,3472,3678,3888
810,0.87106,2.7851200103759766,0.9781000018119812,0.9949700236320496,0.88587,1.0095100402832031,2.9601800441741943,1.0019700527191162,433,543,673,903,1169,1313,1677,2024,2140,2237,2646,2922,3471,3678,3887
820,0.87217,2.7972300052642822,0.9823499917984009,0.9906600117683411,0.88706,1.0042200088500977,2.975759983062744,1.0072400569915771,432,543,672,904,1169,1313,1677,2024,2140,2238,2646,2922,3471,3475,3679,3887
830,0.87348,2.811619997024536,0.9874100089073181,0.9855899810791016,0.88845,0.9980599880218506,2.994149923324585,1.0134600400924683,431,542,672,903,1169,1313,1677,2024,2141,2238,2646,2922,3473,3475,3680,3886
840,0.8726,2.801949977874756,0.9840099811553955,0.9890000224113464,0.88775,1.001189947128296,2.984800100326538,1.0103000402450562,430,542,672,904,1169,1314,1677,2024,2140,2237,2647,2923,3473,3475,3680,3885
850,0.87398,2.8172099590301514,0.9893699884414673,0.9836400151252747,0.88913,0.9950000047683716,3.003350019454956,1.0165799856185913,429,541,672,904,1169,1313,1677,2025,2140,2235,2645,2923,3473,3474,3680,3884
860,0.87251,2.8009700775146484,0.9836599826812744,0.9893400073051453,0.88771,1.0013699531555176,2.984250068664551,1.0101100206375122,429,540,672,904,1170,1313,1677,2025,2140,2235,2647,2922,3473,3475,3680,3883
870,0.87456,2.8237600326538086,0.9916700124740601,0.9813500046730042,0.88968,0.9925299882888794,3.0108299255371094,1.0191099643707275,427,540,671,904,1169,1313,1677,2025,2140,2235,2646,2922,3473,3474,3681,3883
880,0.87463,2.8245298862457275,0.9919400215148926,0.9810900092124939,0.88995,0.9913100004196167,3.0145199298858643,1.020359992980957,426,540,671,905,1169,1313,1677,2025,2140,2235,2646,2923,3474,3475,3681,3882
890,0.8731,2.80745005607605,0.9859399795532227,0.987060010433197,0.88864,0.997189998626709,2.9967598915100098,1.0143500566482544,425,539,671,905,1169,1313,1677,2025,2140,2235,2646,2923,3474,3475,3681,3882
900,0.8741,2.8185999393463135,0.9898599982261658,0.9831500053405762,0.88959,0.9929400086402893,3.009589910507202,1.0186899900436401,425,538,671,904,1169,1313,1677,2025,2140,2234,2646,2922,3474,3475,3681,3882
910,0.87504,2.82915997505188,0.9935700297355652,0.9794800281524658,0.89064,0.9882000088691711,3.0240299701690674,1.0235799551010132,425,538,671,905,1169,1314,1677,2025,2140,2234,2646,2923,3474,3475,3681,3882
920,0.87511,2.8299400806427,0.9938399791717529,0.9792100191116333,0.89075,0.9876999855041504,3.02554988861084,1.024090051651001,425,538,671,905,1169,1314,1677,2025,2140,2235,2647,2922,3474,3476,3682,3882
930,0.8734,2.810770034790039,0.9871100187301636,0.9858899712562561,0.88934,0.9940599799156189,3.006200075149536,1.0175399780273438,425,538,671,905,1169,1314,1677,2025,2140,2234,2646,2922,3475,3476,3681,3881
940,0.87446,2.822619915008545,0.9912700057029724,0.9817500114440918,0.89036,0.9894599914550781,3.020169973373413,1.0222699642181396,424,538,671,906,1169,1314,1677,2025,2140,2234,2646,2922,3474,3476,3682,3882
950,0.87552,2.834630012512207,0.9954900145530701,0.977590024471283,0.89147,0.9844300150871277,3.035599946975708,1.0274900197982788,424,538,671,906,1169,1314,1677,2025,2140,2234,2646,2922,3475,3477,3682,3881
960,0.87269,2.802910089492798,0.9843500256538391,0.9886500239372253,0.88889,0.9960600137710571,3.000149965286255,1.0154900550842285,425,538,671,905,1169,1314,1677,2025,2140,2234,2645,2922,3476,3477,3682,3881
970,0.87417,2.8193199634552,0.9901099801063538,0.9829000234603882,0.89031,0.9896699786186218,3.0195200443267822,1.0220500230789185,423,538,671,906,1168,1314,1677,2025,2140,2234,2647,2923,3475,3477,3683,3882
980,0.87528,2.831899881362915,0.9945300221443176,0.9785299897193909,0.89132,0.9851300120353699,3.033440113067627,1.0267599821090698,423,537,671,906,1169,1314,1677,2025,2140,2234,2646,2922,3476,3477,3682,3882
990,0.87526,2.831660032272339,0.9944400191307068,0.9786199927330017,0.89138,0.9848700165748596,3.0342299938201904,1.0270299911499023,422,537,671,905,1168,1314,1677,2025,2140,2233,2646,2922,3475,3477,3683,3882
