algorithm,dataset,target_size,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq
bsdrcnn_100_dyn,lucas,100,0.8960000000000001,0.9550000071525574,3.113000011444092,1.040999984741211,0.91,0.8810000002384186,3.113000011444092,1.040999984741211
bsdrcnn_100_st,lucas,100,0.8789999999999999,1.0180000007152556,2.884000015258789,0.985999995470047,0.8960000000000001,0.9399999976158142,2.884000015258789,0.985999995470047
bsdrcnn_100_semi,lucas,100,0.8950000000000001,0.9570000052452088,3.0829999923706053,1.0430000066757201,0.907,0.8909999966621399,3.0829999923706053,1.0430000066757201
