epoch,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16
0,0,0.9484500288963318,0.3207400143146515,3.031169891357422,0,3.114579916000366,0.948989987373352,0.32475998997688293,244,497,741,977,1230,1466,1710,1963,2207,2443,2688,2940,3176,3429,3665,3909
10,0.22267,1.1343300342559814,0.38359999656677246,2.5344901084899902,0.22557,2.6010000705718994,1.1363799571990967,0.38888999819755554,242,523,709,939,1266,1449,1697,1957,2246,2402,2650,2909,3165,3466,3627,3909
20,0.35409,1.2443900108337402,0.4208199977874756,2.3103199005126953,0.35674,2.3705201148986816,1.2468700408935547,0.42669999599456787,282,526,663,922,1261,1484,1698,1986,2256,2359,2660,2895,3199,3493,3629,3907
30,0.45864,1.3592400550842285,0.45965999364852905,2.1150999069213867,0.45001,2.191930055618286,1.348449945449829,0.4614599943161011,329,532,621,939,1223,1491,1700,1996,2235,2325,2655,2894,3228,3505,3665,3939
40,0.54478,1.4822800159454346,0.5012699961662292,1.9395300149917603,0.52931,2.0277700424194336,1.4576200246810913,0.4988200068473816,379,515,614,930,1182,1460,1701,1974,2189,2313,2659,2897,3242,3499,3680,3945
50,0.60263,1.5865099430084229,0.5365099906921387,1.8121099472045898,0.58544,1.9030200242996216,1.5531699657440186,0.5315200090408325,421,503,629,915,1153,1418,1698,1984,2158,2315,2656,2900,3254,3500,3675,3944
60,0.64308,1.67399001121521,0.566100001335144,1.7174099683761597,0.62393,1.8125300407409668,1.6307100057601929,0.5580599904060364,436,523,644,930,1145,1402,1695,1981,2155,2310,2657,2903,3264,3501,3666,3943
70,0.67454,1.7530299425125122,0.5928300023078918,1.6399799585342407,0.65525,1.7353999614715576,1.7031899690628052,0.582859992980957,443,541,663,939,1150,1383,1697,1984,2156,2308,2656,2905,3274,3499,3662,3947
80,0.69984,1.825410008430481,0.6172999739646912,1.5749499797821045,0.68256,1.6652400493621826,1.774940013885498,0.607420027256012,457,558,675,941,1148,1376,1700,1987,2148,2311,2656,2907,3293,3496,3667,3945
90,0.72625,1.911460041999817,0.646399974822998,1.5040500164031982,0.71085,1.5893199443817139,1.8597400188446045,0.636430025100708,477,566,682,939,1149,1376,1691,1989,2147,2303,2656,2913,3325,3493,3675,3944
100,0.75394,2.0161399841308594,0.6818000078201294,1.4259599447250366,0.74051,1.5055999755859375,1.9631500244140625,0.6718199849128723,493,575,686,935,1157,1376,1688,1993,2143,2297,2655,2922,3376,3492,3680,3947
110,0.7815,2.1395299434661865,0.7235299944877625,1.3437199592590332,0.76949,1.4190399646759033,2.082900047302246,0.7128000259399414,508,580,687,931,1158,1375,1678,1997,2139,2299,2655,2925,3434,3494,3680,3943
120,0.80034,2.238179922103882,0.7568899989128113,1.2844899892807007,0.7909,1.3515499830245972,2.1869099140167236,0.7483999729156494,514,584,688,928,1161,1372,1664,2002,2136,2299,2653,2925,3477,3491,3677,3939
130,0.81419,2.320080041885376,0.7845900058746338,1.239150047302246,0.80515,1.304669976234436,2.2654900550842285,0.7752900123596191,516,584,690,924,1159,1369,1644,2006,2139,2300,2652,2924,3471,3483,3678,3949
140,0.82195,2.3701400756835938,0.8015199899673462,1.212980031967163,0.81475,1.272130012512207,2.323430061340332,0.7951200008392334,515,586,692,920,1158,1368,1642,2008,2139,2295,2653,2923,3462,3471,3677,3958
150,0.8289,2.4177799224853516,0.8176299929618835,1.189079999923706,0.82188,1.2473900318145752,2.3695099353790283,0.8108900189399719,513,587,695,920,1157,1367,1646,2010,2136,2288,2652,2923,3465,3468,3677,3966
160,0.83125,2.434530019760132,0.8232899904251099,1.180899977684021,0.82679,1.2300900220870972,2.402829885482788,0.8222900032997131,512,589,696,920,1155,1366,1644,2010,2138,2287,2652,2923,3466,3470,3676,3974
170,0.83608,2.470170021057129,0.8353400230407715,1.1638599634170532,0.83191,1.2117799520492554,2.439150094985962,0.8347200155258179,512,590,698,918,1156,1365,1647,2011,2140,2287,2653,2923,3464,3466,3677,3980
180,0.84034,2.502919912338257,0.8464199900627136,1.1486300230026245,0.83532,1.1993999481201172,2.464319944381714,0.8433300256729126,512,590,698,916,1156,1364,1650,2012,2140,2281,2653,2923,3464,3466,3679,3985
190,0.84282,2.522559881210327,0.8530600070953369,1.1396900415420532,0.83922,1.1851500272750854,2.4939699172973633,0.8534799814224243,511,591,700,916,1156,1364,1653,2013,2140,2276,2652,2923,3464,3465,3682,3987
200,0.8456,2.545180082321167,0.8607100248336792,1.1295599937438965,0.84235,1.1735399961471558,2.518630027770996,0.8619199991226196,510,591,700,916,1156,1363,1657,2014,2140,2272,2651,2923,3464,3465,3687,3989
210,0.84857,2.569999933242798,0.8690999746322632,1.118649959564209,0.84501,1.1635799407958984,2.5401999950408936,0.8693000078201294,508,589,699,914,1155,1362,1666,2015,2140,2270,2652,2923,3464,3466,3691,3990
220,0.8494,2.5771000385284424,0.8715000152587891,1.1155699491500854,0.84743,1.1544599533081055,2.560270071029663,0.8761699795722961,506,588,699,913,1155,1361,1679,2015,2140,2268,2652,2923,3463,3469,3693,3990
230,0.85304,2.6087799072265625,0.8822199702262878,1.102020025253296,0.84906,1.1482900381088257,2.574009895324707,0.88086998462677,503,587,700,913,1156,1360,1682,2016,2139,2267,2652,2923,3464,3466,3693,3990
