algorithm,dataset,target_size,scaler_y,mode,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq
bsdrcnn,lucas,8,robust,static,0.7529999999999999,1.4770000100135805,2.0079999804496764,0.6720000028610229,0.751,1.4640000343322754,2.0079999804496764,0.6720000028610229
bsdrcnn,lucas,8,robust,dyn,0.8480000000000001,1.1610000014305115,2.5519999980926515,0.852999997138977,0.8469999999999999,1.143999981880188,2.5519999980926515,0.852999997138977
bsdrcnn,lucas,8,robust,semi,0.779,1.393999993801117,2.1359999418258666,0.7140000104904175,0.775,1.3889999628067016,2.1359999418258666,0.7140000104904175
bsdrcnn,lucas,16,robust,static,0.866,1.0769999980926517,2.728999996185302,0.9239999949932098,0.883,0.9980000019073486,2.728999996185302,0.9239999949932098
bsdrcnn,lucas,16,robust,dyn,0.881,1.004999989271164,2.922000002861023,0.9899999976158144,0.898,0.9330000042915344,2.922000002861023,0.9899999976158144
bsdrcnn,lucas,16,robust,semi,0.8720000000000001,1.04300000667572,2.81399998664856,0.9539999902248384,0.89,0.9730000078678132,2.81399998664856,0.9539999902248384
bsdrcnn,lucas,32,robust,static,0.8940000000000001,0.9439999997615814,3.078999972343445,1.051999998092651,0.914,0.8620000123977661,3.078999972343445,1.051999998092651
bsdrcnn,lucas,32,robust,dyn,0.899,0.9220000088214876,3.1500000238418577,1.074000024795532,0.9200000000000002,0.8369999825954437,3.1500000238418577,1.074000024795532
bsdrcnn,lucas,32,robust,semi,0.898,0.9250000059604644,3.1360000133514405,1.0710000038146972,0.9200000000000002,0.8449999988079071,3.1360000133514405,1.0710000038146972
bsdrcnn,lucas,64,robust,static,0.8869999999999999,0.9899999916553496,2.988000011444092,1.0029999971389771,0.898,0.928000009059906,2.988000011444092,1.0029999971389771
bsdrcnn,lucas,64,robust,dyn,0.9022222222222221,0.9255555669466654,3.1822222073872886,1.0722222328186035,0.9133333333333334,0.8622222344080607,3.1822222073872886,1.0722222328186035
