algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,r2_o,rmse_o,rpd_o,rpiq_o,train_r2,train_rmse,train_rpd,train_rpiq,train_r2_o,train_rmse_o,train_rpd_o,train_rpiq_o,execution_time,params
bsdrfc_r_norder,lucas,8,robust,dyn,0.75,0.3766576051712036,2.416694164276123,1.2667081356048584,0.4280569553375244,0.3766577243804931,63.07571792602539,1.266708254814148,0.4280569553375244,0.3750747442245483,2.2865149974823,1.265025615692139,0.4339954853057861,0.3750748038291931,59.67804336547852,1.2650254964828491,0.4339954853057861,7.587498188018799,109
bsdrfc_r_norder,lucas,32,robust,dyn,0.75,0.6673186421394348,1.7363466024398804,1.7339062690734863,0.5869548320770264,0.66731858253479,45.31864547729492,1.7339062690734863,0.5869548320770264,0.6385633945465088,1.7496012449264526,1.6634019613265991,0.5671790242195129,0.6385633945465088,45.66459274291992,1.663402080535889,0.5671790838241577,9.706090688705444,577
bsdrfc_r_norder,lucas,128,robust,dyn,0.75,0.8919380307197571,0.9547873139381408,3.042309761047364,1.054376244544983,0.8919380307197571,24.919946670532227,3.0423099994659424,1.0543761253356934,0.8836830258369446,1.0047119855880735,2.932188034057617,0.9914966821670532,0.8836830258369446,26.22298622131348,2.93218731880188,0.9914965629577636,24.861518383026123,10497
bsdrcnn_r,lucas,8,robust,dyn,0.75,0.8254911303520203,1.2530975341796875,2.394038438796997,0.7919073700904846,0.8254910707473755,32.70584487915039,2.394038200378418,0.7919074296951294,0.8205666542053223,1.2343013286590576,2.360813856124878,0.8132790327072144,0.8205666542053223,32.21526336669922,2.360814094543457,0.8132790923118591,18.974230766296387,297
bsdrcnn_r,lucas,32,robust,dyn,0.75,0.8942124843597412,0.9725011587142944,3.074841260910034,0.9997131824493408,0.8942124843597412,25.382280349731445,3.074841260910034,0.9997133016586304,0.9004284143447876,0.9205374121665956,3.1691699028015137,1.1029706001281738,0.9004284143447876,24.02602767944336,3.1691699028015137,1.1029704809188845,72.01965379714966,4801
bsdrcnn_r,lucas,128,robust,dyn,0.75,0.9265984296798706,0.8184493780136108,3.6913676261901855,1.2112897634506226,0.9265984296798706,21.361528396606445,3.6913673877716064,1.2112897634506226,0.9558320045471193,0.610853910446167,4.758382797241211,1.643324851989746,0.9558320045471193,15.94328784942627,4.758382797241211,1.643324851989746,218.61766600608823,38049
