algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,execution_time
bsdrcnn,lucas,8,robust,static,0.75,0.738013505935669,1.453161358833313,1.953891396522522,0.6802449822425842,0.7546378970146179,1.469700813293457,2.0188755989074707,0.6856244206428528,30.03553318977356
bsdrcnn,lucas,16,robust,static,0.75,0.8682755827903748,1.0452278852462769,2.755539655685425,0.9347353577613832,0.8837900757789612,1.0069713592529297,2.933537483215332,1.0006866455078125,101.27945971488953
bsdrcnn,lucas,32,robust,static,0.75,0.8910415768623352,0.956710696220398,3.029768228530884,1.0482516288757324,0.9176580905914308,0.8459172248840332,3.4850006103515625,1.182148814201355,110.23290228843688
bsdrcnn,lucas,64,robust,static,0.75,0.8822623491287231,1.043344259262085,2.914621591567993,0.9547841548919678,0.9005115628242493,0.914604663848877,3.170494318008423,1.0975576639175415,163.31343126296997
bsdrcnn,lucas,128,robust,static,0.75,0.9008723497390748,0.9404885172843932,3.1764535903930664,1.0958681106567385,0.915940523147583,0.8460460305213928,3.4492132663726807,1.172911524772644,214.9044864177704
bsdrcnn,lucas,256,robust,static,0.75,0.8798314332962036,1.0515615940093994,2.884990930557251,0.9546101689338684,0.9006046056747437,0.9149370789527892,3.17197847366333,1.0929713249206543,419.6127736568451
bsdrcnn,lucas,512,robust,static,0.75,0.891769528388977,0.9490092396736144,3.039940595626831,1.037581443786621,0.9376976490020752,0.7369218468666077,4.0064616203308105,1.3673943281173706,4289.642870664597
bsdrfc,lucas,8,robust,static,0.75,0.8394207954406738,1.1982061862945557,2.4957165718078613,0.8345808982849121,0.8409759998321533,1.1632949113845823,2.5077366828918457,0.8596272468566895,7.613622665405273
bsdrfc,lucas,16,robust,static,0.75,0.8694754242897034,1.0549789667129517,2.768176317214966,0.9769401550292968,0.8838428854942322,1.002266764640808,2.934204578399658,0.9862700700759888,9.6862952709198
bsdrfc,lucas,32,robust,static,0.75,0.8952878713607788,0.9771755337715148,3.090590238571167,1.038061022758484,0.887840747833252,0.973540186882019,2.9860405921936035,1.023243427276611,11.312270164489746
bsdrfc,lucas,64,robust,static,0.75,0.9070178270339966,0.8705387711524963,3.279744863510132,1.1300088167190552,0.89286869764328,0.9694584012031556,3.0553088188171387,1.0394079685211182,13.459974527359009
bsdrfc,lucas,128,robust,static,0.75,0.8915214538574219,0.9514183402061462,3.036462783813477,1.0107917785644531,0.8964782953262329,0.9494858384132384,3.108118772506714,1.0733778476715088,18.705240488052368
bsdrfc,lucas,256,robust,static,0.75,0.8906300067901611,0.9789520502090454,3.024062395095825,1.0332417488098145,0.8862114548683167,0.9874815940856934,2.964585542678833,1.0087970495224,27.91766667366028
bsdrfc,lucas,512,robust,static,0.75,0.8912627100944519,0.9600868225097656,3.0328481197357178,1.056537628173828,0.8943319916725159,0.9568631052970886,3.076390504837036,1.045081615447998,47.73564577102661
